"B 52's, The","Love Shack",SC8106,13,SC8106,,SC,1," 2/27/13"
B'witched,"C'est La Vie",PHT9904,4,PHT9904,,PH,1," 2/27/13"
B'Witched,"C'est La Vie",PHM9905,5,PHM9905,,PH,1," 2/27/13"
B'witched,"C'est La Vie",CBEP457-2,16,CBEP457-2,,CB,1," 2/27/13"
B'witched,Rollercoaster,SC8553,13,SC8553,,SC,1," 2/27/13"
B'witched,"To You I Belong",SF128,3,SF128,,SF,1," 2/27/13"
"B'Witched wvocal","C'est La Vie",PHM9905,14,PHM9905,,PH,1," 2/27/13"
"B-52's, The","Deadbeat Club",DK049,4,DK049,,DK,1," 2/27/13"
"B-52's, The",Debbie,SC8465,12,SC8465,,SC,1," 2/27/13"
"B-52'S, The","Love Shack",BL01,2,BL01,,BL,1," 2/27/13"
"B-52's, The","Love Shack",SF015,6,SF015,,SF,1," 2/27/13"
"B-52's, The","Private Idaho",SC8522,13,SC8522,,SC,1," 2/27/13"
"B-52's, The",Roam,SC8861,4,SC8861,,SC,1," 2/27/13"
"B-52's, The","Rock Lobster",SC8678,3,SC8678,,SC,1," 2/27/13"
"B. Taylor feat Pauley Perrette","Fire In Your Eyes",PHMU1110,3,PHMU1110,,PH,1," 2/27/13"
"B., Jon & Babyface","Someone To Love",SC8187,10,SC8187,,SC,1," 2/27/13"
"B., Stevie","Because I Love You",MM6040,2,MM6040,,MM,1," 2/27/13"
"B.b. King & Eric Clapton","Riding With The King",SC8814,7,SC8814,,SC,1," 2/27/13"
"B.G. feat Mannie Fresh & Gar","My Hood",PHMU1003,6,PHMU1003,,PH,1," 2/27/13"
B.m.u.,"U Will Know",SC8145,3,SC8145,,SC,1," 2/27/13"
B.o.B,"Don't Let Me Fall",PHMU1006,2,PHMU1006,,PH,1," 2/27/13"
B.o.B,"Ray Bands",PHMU1302,4,PHMU1302,,PH,1," 2/27/13"
B.o.B,"So Good",PHMU1205,1,PHMU1205,,PH,1," 2/27/13"
"B.o.B feat Bruno Mars","Nothin' On You",PHMU1004,3,PHMU1004,,PH,1," 2/27/13"
"B.o.B feat Morgan Freeman","Bombs Away",PHMU1302,7,PHMU1302,,PH,1," 2/27/13"
"B.o.B feat Rivers Cuomo",Magic,PHMP1010,1,PHMP1010,,PH,1," 2/27/13"
"B.T. Express","Do It 'Til You're Satisfied",DK031,18,DK031,,DK,1," 2/27/13"
B2k,Girlfriend,THH0306,10,THH0306,,TH,1," 2/27/13"
B2K,Girlfriend,MM6404,11,MM6404,,MM,1," 2/27/13"
B2K,"Gots Ta Be",PHM0209,9,PHM0209,,PH,1," 2/27/13"
B2k,"Gots Ta Be",CBEP473-1,10,CBEP473-1,,CB,1," 2/27/13"
B2K,"Gots Ta Be",CB30024,12,CB30024,,CB,1," 2/27/13"
B2K,"Uh Huh",SC8747,6,SC8747,,SC,1," 2/27/13"
B2K,"Why I Love You",CB30030,6,CB30030,,CB,1," 2/27/13"
"B2K & Fabolous","Bada Boom",PHU0403,8,PHU0403,,PH,1," 2/27/13"
"B2K & P. Diddy","Bump Bump Bump",PHU0302,4,PHU0302,,PH,1," 2/27/13"
"B2k & P. Diddy","Bump, Bump, Bump",THH0304,10,THH0304,,TH,1," 2/27/13"
"B2K & P. Diddy","Bump, Bump, Bump",SC8805,15,SC8805,,SC,1," 2/27/13"
"B2K & P. Diddy wvocal","Bump Bump Bump",PHU0302,13,PHU0302,,PH,1," 2/27/13"
B2Kÿ,Girlfriend,CB30036,11,CB30036,,CB,1," 2/27/13"
"Babbitt, Harry","There'll Be Bluebirds Over The White Cli",SC1302,1,SC1302,,SC,1," 2/27/13"
Babe,Styx,AH8015,2,AH8015,,AH,1," 2/27/13"
Baby,Ashanti,THH0210,13,THH0210,,TH,1," 2/27/13"
BABY,"BLAKE SHELTON",TT161,17,TT161,,TT,1," 2/27/13"
"Baby & Clipse","What Happened To That Boy",PHU0305,5,PHU0305,,PH,1," 2/27/13"
"Baby & Clipse wvocal","What Happened To That Boy",PHU0305,14,PHU0305,,PH,1," 2/27/13"
"Baby & P. Diddy","Do That",PHU0301,9,PHU0301,,PH,1," 2/27/13"
"Baby & P. Diddy","Do That...",THH0304,17,THH0304,,TH,1," 2/27/13"
"Baby & P. Diddy wvocal","Do That",PHU0301,18,PHU0301,,PH,1," 2/27/13"
"Baby Bash & Frankie J.","Suga Suga",SC8849,11,SC8849,,SC,1," 2/27/13"
"Baby Bash Feat Sean Kingston","What Is It",PHMP0805,9,PHMP0805,,PH,1," 2/27/13"
"Baby Come To Me","Austin, Patti & James Ingram",BS5317,10,BS5317,,BS,1," 2/27/13"
