"C & C Music Factory","Gonna Make You Sweat",SC8892,14,SC8892,,SC,1," 2/27/13"
"C & C Music Factory","Things That Make You Go Hmmmm",DK099,7,DK099,,DK,1," 2/27/13"
"C'Mon 'N Ride Da Train","Quad City DJ's",AH8006,5,AH8006,,AH,1," 2/27/13"
C-Side,"Boyfriend Girlfriend",PHMU0807,4,PHMU0807,,PH,1," 2/27/13"
Ca$h,"Walk Wit A Dip",PHMU0910,4,PHMU0910,,PH,1," 2/27/13"
"Cab Driver","Mills Brothers, The",AH8012,7,AH8012,,AH,1," 2/27/13"
"Cab Driver (Quartet)","Mills Brothers, The",AH8012,17,AH8012,,AH,1," 2/27/13"
Cabaret,Cabaret,MMGCP9802,21,MMGCP9802,,MM,1," 2/27/13"
Cabaret,"Maybe This Time",MMBH1-1,15,MMBH1-1,,MM,1," 2/27/13"
Cabaret,"Money Makes The World Go 'Round",MMBH1-5,15,MMBH1-5,,MM,1," 2/27/13"
Caberet,Cabaret,SGB50,3,SGB50,,SG,1," 2/27/13"
Caberet,"Money Song, The",SGB50,14,SGB50,,SG,1," 2/27/13"
"Cabrera, Ryan","On The Way Down",MM6417,11,MM6417,,MM,1," 2/27/13"
"Cabrera, Ryan",True,PHM0501,9,PHM0501,,PH,1," 2/27/13"
"Cactus Choir","Step Right Up",MM6235,7,MM6235,,MM,1," 2/27/13"
"Cadillacs, The",Gloria,MM6385,10,MM6385,,MM,1," 2/27/13"
"Cadillacs, The",Speedo,MM6385,6,MM6385,,MM,1," 2/27/13"
"Cafferty, John & Beaver Brown Band, The","Tender Years",AH8013,10,AH8013,,AH,1," 2/27/13"
"Cafferty, John & The Beaver Brown Band","On The Dark Side",SC8176,13,SC8176,,SC,1," 2/27/13"
"Cagle, Chris","Chicks Dig It",SC8842,12,SC8842,,SC,1," 2/27/13"
"Cagle, Chris","Country By The Grace Of God",CB60234,15,CB60234,,CB,1," 2/27/13"
"Cagle, Chris","I Breathe In, I Breathe Out",SC8727,14,SC8727,,SC,1," 2/27/13"
"Cagle, Chris","I'd Be Lying",SC3404,5,SC3404,,SC,1," 2/27/13"
"Cagle, Chris",Laredo,SD082,13,SD082,,SD,1," 2/27/13"
"Cagle, Chris","My Love Goes On & On",CB60205,12,CB60205,,CB,1," 2/27/13"
"Cagle, Chris","My Love Goes On And On",SD077,11,SD077,,SD,1," 2/27/13"
"Cagle, Chris","What A Beautiful Day",THC0303,17,THC0303,,TH,1," 2/27/13"
"Cagle, Chris wvocal","Chicks Dig It",SC3378,13,SC3378,,SC,1," 2/27/13"
Cake,"Distance, The",SC8448,10,SC8448,,SC,1," 2/27/13"
Cake,"Let Me Go",SC8565,3,SC8565,,SC,1," 2/27/13"
Cake,"Never There",SC8503,13,SC8503,,SC,1," 2/27/13"
Cake,"No Phone",PHR0502,7,PHR0502,,PH,1," 2/27/13"
Cake,"Short Skirt & Long Jacket",PHM0110,4,PHM0110,,PH,1," 2/27/13"
Cake,"Short Skirt, Long Coat",SGB65,17,SGB65,,SG,1," 2/27/13"
"Caldwell, Bobby","Love Lite",SC8302,5,SC8302,,SC,1," 2/27/13"
"Caldwell, Bobby","Stuck On You",SGB22,15,SGB22,,SG,1," 2/27/13"
"Caldwell, Bobby","What You Won't Do For Love",SC8293,15,SC8293,,SC,1," 2/27/13"
