"G Unit & Joe","Wanna Get To Know You",PHU0405,6,PHU0405,,PH,1," 2/27/13"
G-Unit,"Stunt 101",PHU0401,1,PHU0401,,PH,1," 2/27/13"
"G., Gina","Gimme Some Love",SC8390,13,SC8390,,SC,1," 2/27/13"
"Gabe Dixon Band","Five More Hours",PHMP0901,9,PHMP0901,,PH,1," 2/27/13"
"Gabriel, Peter","Big Time",SC8568,11,SC8568,,SC,1," 2/27/13"
"Gabriel, Peter","In Your Eyes",SC8611,13,SC8611,,SC,1," 2/27/13"
"Gabriel, Peter",Lovetown,SC8237,6,SC8237,,SC,1," 2/27/13"
"Gabriel, Peter","Red Rain",SC8603,11,SC8603,,SC,1," 2/27/13"
"Gabriel, Peter","Shock The Monkey",SC8611,6,SC8611,,SC,1," 2/27/13"
"Gabriel, Peter",Sledgehammer,SC8611,9,SC8611,,SC,1," 2/27/13"
"Gabriel, Peter","Solsbury Hill (Live Version)",SC8840,15,SC8840,,SC,1," 2/27/13"
"Gabriel, Peter & Kate Bush","Don't Give Up",SC8583,3,SC8583,,SC,1," 2/27/13"
Gabrielle,Dreams,SF005,10,SF005,,SF,1," 2/27/13"
Gabrielle,"Should I Stay",SF170,5,SF170,,SF,1," 2/27/13"
Gabrielle,Sunshine,SF148,15,SF148,,SF,1," 2/27/13"
"Gaines, Chris Garth Brooks","Lost In You",PHT9911,8,PHT9911,,PH,1," 2/27/13"
"Gaines, Rosie",Surrender,SF116,14,SF116,,SF,1," 2/27/13"
"Gaither Vocal Band, The","When Jesus Say's It's Enough",CBEP466-4,10,CBEP466-4,,CB,1," 2/27/13"
"Gaither Vocal Band, The","Yes I Know",CBEP466-5,9,CBEP466-5,,CB,1," 2/27/13"
"Gaithers, The","Because He Lives",CBEP466-2,13,CBEP466-2,,CB,1," 2/27/13"
"Gaithers, The","Going Home",CBEP466-2,6,CBEP466-2,,CB,1," 2/27/13"
"Gaithers, The","Joy Comes In The Morning",CBEP466-3,12,CBEP466-3,,CB,1," 2/27/13"
Gala,"Let A Boy Cry",SF118,6,SF118,,SF,1," 2/27/13"
"Gallagher And Lyle","Heart On My Sleeve",SF168,12,SF168,,SF,1," 2/27/13"
Gallery,"Nice To Be With You",AH8011,11,AH8011,,AH,1," 2/27/13"
Galloways,"Somebody Say Amen",CBEP478-6,14,CBEP478-6,,CB,1," 2/27/13"
"Gambler, The","Rogers, Kenny",KC001,13,KC001,,KC,1," 2/27/13"
"Game Of Love, The","Branch, Michelle  & Santana",PHM0212,3,PHM0212,,PH,1," 2/27/13"
"Game Of Love, The","Santana & Michelle Branch",THP0301,11,THP0301,,TH,1," 2/27/13"
"Game, The & 50 Cent","How We Do",PHU0502,4,PHU0502,,PH,1," 2/27/13"
"Games People Play","Inner Circle, The",AH9821,5,AH9821,,AH,1," 2/27/13"
"Gangsta Lovin'","Eve & Alicia Keys",THH0211,17,THH0211,,TH,1," 2/27/13"
"Gap Band, The","Early In The Morning",SC8704,9,SC8704,,SC,1," 2/27/13"
"Gap Band, The","Oops Upside Your Head",SF028,14,SF028,,SF,1," 2/27/13"
"Gap Band, The","Party Train",SC8667,5,SC8667,,SC,1," 2/27/13"
"Gap Band, The","You Dropped A Bomb On Me",MM6135,14,MM6135,,MM,1," 2/27/13"
Garbage,"#1 Crush",SC8448,12,SC8448,,SC,1," 2/27/13"
Garbage,"Blood For Poppies",PHMP1206,3,PHMP1206,,PH,1," 2/27/13"
Garbage,"I Think I'm Paranoid",SF123,15,SF123,,SF,1," 2/27/13"
Garbage,Milk,SC8343,12,SC8343,,SC,1," 2/27/13"
Garbage,"Only Happy When It Rains",SC8348,8,SC8348,,SC,1," 2/27/13"
Garbage,"Push It",SC8462,5,SC8462,,SC,1," 2/27/13"
Garbage,Queer,SC8263,4,SC8263,,SC,1," 2/27/13"
Garbage,Special,SGB18,12,SGB18,,SG,1," 2/27/13"
Garbage,"Stupid Girl",SC8308,10,SC8308,,SC,1," 2/27/13"
Garbage,"When I Grow Up",SC8553,10,SC8553,,SC,1," 2/27/13"
Garbage,"You Look So Fine",SF142,9,SF142,,SF,1," 2/27/13"
"Garden Party","Nelson, Ricky",KJT07,6,KJT07,,KJ,1," 2/27/13"
"Gardiner, Boris","I Want To Wake Up With You",SF058,2,SF058,,SF,1," 2/27/13"
"Gareth Gates","What My Heart Wants To Say",SF200,16,SF200,,SF,1," 2/27/13"
"Garfunkel, Art","I Only Have Eyes For You",DK1107,6,DK1107,,DK,1," 2/27/13"
"Garland, Judy","Come Rain Come Shine",MMSTA2-1,3,MMSTA2-1,,MM,1," 2/27/13"
"Garland, Judy","Come Rain Or Come Shine",DK1107,14,DK1107,,DK,1," 2/27/13"
"Garland, Judy","Man That Got Away, The",SC7553,15,SC7553,,SC,1," 2/27/13"
"Garland, Judy","Meet Me In St. Louis",SAVP36,15,SAVP36,,SA,1," 2/27/13"
"Garland, Judy","Over The Rainbow",SAVP02,18,SAVP02,,SA,1," 2/27/13"
"Garland, Judy","Somewhere Over The Rainbow",DK008,18,DK008,,DK,1," 2/27/13"
"Garland, Judy",Swanee,MM6137,14,MM6137,,MM,1," 2/27/13"
"Garland, Judy","Trolley Song, The",SAVP36,14,SAVP36,,SA,1," 2/27/13"
"Garland, Judy","When You're Smiling",DK085,18,DK085,,DK,1," 2/27/13"
"Garland, Judy","When Your Smiling",SC8288,14,SC8288,,SC,1," 2/27/13"
"Garland, Judy","You Made Me Love You",CBE3-15,4,CBE3-15,,CB,1," 2/27/13"
"Garner, Kristin","Let's Burn It Down",CB60219,8,CB60219,,CB,1," 2/27/13"
"Garner, Kristin",Lightly,CB60217,15,CB60217,,CB,1," 2/27/13"
"Garner, Kristin","Singing To The Scarecrow",CB60228,9,CB60228,,CB,1," 2/27/13"
"Garnet Mimms & Enchanters","Cry Baby",SC8521,5,SC8521,,SC,1," 2/27/13"
"Garnett, Gale","We'll Sing In The Sunshine",CBEP469-3,12,CBEP469-3,,CB,1," 2/27/13"
Garou,Gitan,SC2388,5,SC2388,,SC,1," 2/27/13"
"Garou wvocal",Gitan,SC2388,13,SC2388,,SC,1," 2/27/13"
"Garrett & Jones & Debarge","I'm Yours",SC8542,4,SC8542,,SC,1," 2/27/13"
"Garth Brooks & Huey Lewis","Workin' For A Livin'",PHMC0805,5,PHMC0805,,PH,1," 2/27/13"
"Gary Allan","Kiss Me When I'm Down",PHMC1012,5,PHMC1012,,PH,1," 2/27/13"
"Gary Allan","She's So California",PHMC0901,5,PHMC0901,,PH,1," 2/27/13"
"Gary Allan",Today,PHMC0910,8,PHMC0910,,PH,1," 2/27/13"
"Gary Go",Wonderful,PHMP0909,7,PHMP0909,,PH,1," 2/27/13"
"Gary Puckett & The Union Gap","Lady Will Power",SF100,10,SF100,,SF,1," 2/27/13"
"Gary Puckett & The Union Gap","Young Girl",SF052,7,SF052,,SF,1," 2/27/13"
"Gately, Stephen","I Believe",SF171,6,SF171,,SF,1," 2/27/13"
"Gately, Steven","New Beginning",SF165,6,SF165,,SF,1," 2/27/13"
"Gates, David","Love Is Always Seventeen",SC8317,2,SC8317,,SC,1," 2/27/13"
"Gates, David","Save The Last Dance For Me",SC8171,7,SC8171,,SC,1," 2/27/13"
"Gates, Gareth","Say It Isnt So",SF212,4,SF212,,SF,1," 2/27/13"
"Gates, Gareth",Sunshine,SF208,15,SF208,,SF,1," 2/27/13"
"Gatlin, Larry","All The Gold In California",CBE3-03,13,CBE3-03,,CB,1," 2/27/13"
"Gatlin, Larry","Broken Lady",CBE4-15,11,CBE4-15,,CB,1," 2/27/13"
"Gatlin, Larry","Houston (Means I'm One Day Closer To You",CB60169,14,CB60169,,CB,1," 2/27/13"
"Gatlin, Larry","Houston Means I'm One Day Closer To You",CBEP452-4,12,CBEP452-4,,CB,1," 2/27/13"
"Gatlin, Larry","I Don't Wanna Cry",CB90105,8,CB90105,,CB,1," 2/27/13"
"Gatlin, Larry","I Heard The Bells On Christmas Day",CBEP462-5,12,CBEP462-5,,CB,1," 2/27/13"
"Gatlin, Larry","I Just Wish You Were Someone I Love",CB90105,10,CB90105,,CB,1," 2/27/13"
"Gatlin, Larry","I've Done Enough Dyin' Today",CBE3-04,6,CBE3-04,,CB,1," 2/27/13"
"Gatlin, Larry","Love Is Just A Game",CB90105,9,CB90105,,CB,1," 2/27/13"
"Gatlin, Larry","Love Of A Lifetime",CB90105,15,CB90105,,CB,1," 2/27/13"
