"I Always Liked That Best","Thomson, Cyndi",PHN0202,8,PHN0202,,PH,1," 2/27/13"
"I Am Changing","Dreamgirls, The",KC008,8,KC008,,KC,1," 2/27/13"
"I Am Mine","Pearl Jam",TU159,7,TU159,,TU,1," 2/27/13"
"I Am The Bullgod","Kid Rock",TU098,10,TU098,,TU,1," 2/27/13"
"I Am What I Am","La Cage Aux Folles",KC008,3,KC008,,KC,1," 2/27/13"
"I Am, I Said","Diamond, Neil",AH7051,8,AH7051,,AH,1," 2/27/13"
"I BELIEVE","DIAMOND RIO",TT161,5,TT161,,TT,1," 2/27/13"
"I Believe","Presley, Elvis",KC006,15,KC006,,KC,1," 2/27/13"
"I Believe I Can Fly",Kelly,PHM9701,7,PHM9701,,PH,1," 2/27/13"
"I Believe I Can Fly","Kelly, R.",PI048,1,PI048,,PI,1," 2/27/13"
"I Can Love You Better","Dixie Chicks, The",RSZ602,10,RSZ602,,RS,1," 2/27/13"
"I Can't Get Next To You","Temptations, The",JV0005,7,JV0005,,JV,1," 2/27/13"
"I Can't Help Myself","Four Tops, The",SF073,9,SF073,,SF,1," 2/27/13"
"I Can't Sleep Baby",Kelly,THM9609,9,THM9609,,TH,1," 2/27/13"
"I Can't Stand It","Clapton, Eric",BS5517,17,BS5517,,BS,1," 2/27/13"
"I Can't Stop Loving You","Charles, Ray",JV0025,2,JV0025,,JV,1," 2/27/13"
"I Can't Take You Anywhere","Emerick, Scotty",TU228,7,TU228,,TU,1," 2/27/13"
"I Can't Tell You Why","Eagles, The",BS9017,14,BS9017,,BS,1," 2/27/13"
"I Care 4 U",Aaliyah,THP0211,18,THP0211,,TH,1," 2/27/13"
"I Could Never Take The Place Of Your Man","Knight, Jordan",PHT9913,6,PHT9913,,PH,1," 2/27/13"
"I Could Not Ask For More","McCain, Edwin",PHT9909,3,PHT9909,,PH,1," 2/27/13"
"I Couldn't See You Leavin'","Twitty, Conway",TU193,6,TU193,,TU,1," 2/27/13"
"I Do","J. Geils Band, The",AMS1508,1,AMS1508,,AM,1," 2/27/13"
"I Do","Loeb, Lisa",PHM9712,2,PHM9712,,PH,1," 2/27/13"
"I Do (Wanna Get Close To You)",3LW,PHM0210,9,PHM0210,,PH,1," 2/27/13"
"I Don't Give","Lavigne, Avril",PHM0311,2,PHM0311,,PH,1," 2/27/13"
"I Don't Have To Be Me Till Monday","Azar, Steve",TU127,5,TU127,,TU,1," 2/27/13"
"I Don't Know A Thing About Love","Twitty, Conway",TU193,7,TU193,,TU,1," 2/27/13"
"I Don't Want To","Braxton, Toni",HV06A,15,HV06A,,HV,1," 2/27/13"
"I Don't Want To Live Without You",Foreigner,BS7517,14,BS7517,,BS,1," 2/27/13"
"I Don't Want You To Go","Johnson, Carolyn Dawn",PHN0204,5,PHN0204,,PH,1," 2/27/13"
"I Drive Myself Crazy","N Sync",PHT9906,3,PHT9906,,PH,1," 2/27/13"
"I Fall To Pieces","Cline, Patsy",KJT06,13,KJT06,,KJ,1," 2/27/13"
"I Feel Loved","Depeche Mode",TU082,11,TU082,,TU,1," 2/27/13"
"I Feel So","Boxcar Racer",TU142,7,TU142,,TU,1," 2/27/13"
"I Feel Soÿ","Boxcar Racer",THR0209,11,THR0209,,TH,1," 2/27/13"
"I Found Someone",Cher,RSZ606,16,RSZ606,,RS,1," 2/27/13"
"I Get Around","Beach Boys, The",BS8517,8,BS8517,,BS,1," 2/27/13"
"I Give, You Take",Maria,PHM0312,4,PHM0312,,PH,1," 2/27/13"
"I Go To Extremes","Joel, Billy",BS9117,15,BS9117,,BS,1," 2/27/13"
"I Go To Pieces","Peter & Gordon",PLC09,6,PLC09,,PL,1," 2/27/13"
"I Got You Babe",Cher,RSZ606,13,RSZ606,,RS,1," 2/27/13"
"I Had No Right","PM Dawn",PHT9811,8,PHT9811,,PH,1," 2/27/13"
"I Hate Everything About You","Three Days Grace",PHR0310,5,PHR0310,,PH,1," 2/27/13"
"I Have Nothing","Houston, Whitney",BS5017,12,BS5017,,BS,1," 2/27/13"
"I Hope you Dance","Womack, Lee Ann",TUFP07,15,TUFP07,,TU,1," 2/27/13"
"I Just Called To Say I Love You","Wonder, Stevie",JV0042,5,JV0042,,JV,1," 2/27/13"
"I Just Dropped In To See What Condition","Rogers, Kenny & The First Edition",KC007,1,KC007,,KC,1," 2/27/13"
"I Just Wanna Be Mad","Clark, Terri",TU161,7,TU161,,TU,1," 2/27/13"
"I Just Want To Celebrate","Rare Earth",DG07,8,DG07,,DG,1," 2/27/13"
"I Knew I Loved You","Savage Garden",PHT9914,4,PHT9914,,PH,1," 2/27/13"
"I Know How He Feels","McEntire, Reba",THMP014,13,THMP014,,TH,1," 2/27/13"
"I Know I'm Losing You","Stewart, Rod",DG11,13,DG11,,DG,1," 2/27/13"
"I Know It's Your Birthday","Beatles, The",KC001,14,KC001,,KC,1," 2/27/13"
"I Know Why the River Runs","Womack, Lee Ann",TUFP07,16,TUFP07,,TU,1," 2/27/13"
"I Left My Heart In San Francisco","Bennett, Tony",JV0032,8,JV0032,,JV,1," 2/27/13"
"I Like Dreamin'","Nolan, Kenny",DG03,7,DG03,,DG,1," 2/27/13"
"I Like It Like That","Dave Clark Five, The",PLC09,7,PLC09,,PL,1," 2/27/13"
"I Like It, I Love It","McGraw, Tim",TU100,10,TU100,,TU,1," 2/27/13"
