L'trimm,"Cars With The Boom",SC8656,9,SC8656,SC,1," 2/27/13"
"L. A. Guns","Ballad Of Jayne, The",SC8373,9,SC8373,SC,1," 2/27/13"
L.f.o.,"Summer Girls",NSC2000-01,6,NSC2000-01,NS,1," 2/27/13"
"L.l. Cool J","Mama Said Knock You Out",SC8656,8,SC8656,SC,1," 2/27/13"
"L.L. Cool J wvocal",Headsprung,PHU0409,16,PHU0409,PH,1," 2/27/13"
"L.L. Cool J.","Going Back To Cali",SC8875,1,SC8875,SC,1," 2/27/13"
"L.L. Cool J.",Headsprung,PHU0409,7,PHU0409,PH,1," 2/27/13"
"L.L. Cool J.","I'm Bad",SC8875,4,SC8875,SC,1," 2/27/13"
L.t.d.,"Every Time I Turn Around",SC7574,8,SC7574,SC,1," 2/27/13"
L.t.d.,"Love Ballad",SC8824,12,SC8824,SC,1," 2/27/13"
"La Bouche","Be My Lover",SC8233,13,SC8233,SC,1," 2/27/13"
"La Bouche","Fallin' In Love",PHM9611,8,PHM9611,PH,1," 2/27/13"
"La Bouche","Sweet Dreams",PHM9605,8,PHM9605,PH,1," 2/27/13"
"La Cage Aux Folles","Best Of Times, The",MMBH1-1,16,MMBH1-1,MM,1," 2/27/13"
"La Cage Aux Folles","I Am What I Am",MMBH1-3,8,MMBH1-3,MM,1," 2/27/13"
"La Mentira",Intocable,SC7106,5,SC7106,SC,1," 2/27/13"
"La Retirada",Mariachi,SC7108,12,SC7108,SC,1," 2/27/13"
"La Roux","In For The Kill",PHMP1101,8,PHMP1101,PH,1," 2/27/13"
"La Roux","In For The Kill (MPX)",PHMP1101,17,PHMP1101,PH,1," 2/27/13"
"La Rouxe","Bullet Proof",PHMP1003,5,PHMP1003,PH,1," 2/27/13"
Labelle,Superlover,PHMU0903,6,PHMU0903,PH,1," 2/27/13"
"Labelle, Patti","I Don't Do Duets",SC8244,6,SC8244,SC,1," 2/27/13"
"Labelle, Patti","If Only You Knew",SC8405,14,SC8405,SC,1," 2/27/13"
"Labelle, Patti","Lady Marmalade",MMRB04,1,MMRB04,MM,1," 2/27/13"
"LaBelle, Patti","Lady Marmalade",CBEP468-6,6,CBEP468-6,CB,1," 2/27/13"
"Labelle, Patti","Lady Marmalade",SC7549,11,SC7549,SC,1," 2/27/13"
"Labelle, Patti","Love, Need And Want You",SC8606,9,SC8606,SC,1," 2/27/13"
"Labelle, Patti","My Love, Sweet Love",SC8286,2,SC8286,SC,1," 2/27/13"
"Labelle, Patti","New Attitude",DK028,15,DK028,DK,1," 2/27/13"
"LaBelle, Patti","New Day",PHU0407,1,PHU0407,PH,1," 2/27/13"
"Labelle, Patti","When You Talk About Love",SC8423,15,SC8423,SC,1," 2/27/13"
"Labelle, Patti","When You've Been Blessed",SC8318,15,SC8318,SC,1," 2/27/13"
"LaBelle, Patti & Michael McDonald","On My Own",SF110,11,SF110,SF,1," 2/27/13"
"Labelle, Patti & Ronald Isley","Gotta Go Solo",PHU0503,8,PHU0503,PH,1," 2/27/13"
Lace,"I Want A Man",SC8560,13,SC8560,SC,1," 2/27/13"
Lace,"Kiss 'em All",CB60201,10,CB60201,CB,1," 2/27/13"
Lace,"You Could've Had Me",CB60199,5,CB60199,CB,1," 2/27/13"
"Lady Antebellum","Friday Night",PHMC1203,4,PHMC1203,PH,1," 2/27/13"
"Lady Antebellum","I Was Here",PHMC0909,7,PHMC0909,PH,1," 2/27/13"
"Lady Antebellum","Lookin For A Good Time",PHMC0809,4,PHMC0809,PH,1," 2/27/13"
"Lady Antebellum","Love Don't Live Here",PHMC0803,9,PHMC0803,PH,1," 2/27/13"
"Lady Eleanor",Lindisfarne,SF071,9,SF071,SF,1," 2/27/13"
"Lady Is A Tramp, The","Sinatra, Frank",KJT05,20,KJT05,KJ,1," 2/27/13"
"Lady Picture Show","Stone Temple Pilots",PHM9702,5,PHM9702,PH,1," 2/27/13"
Lagrimas,"La Tropa F",SC7106,4,SC7106,SC,1," 2/27/13"
"Lagrimas De Alegria",Fares,SC7105,1,SC7105,SC,1," 2/27/13"
"Laine, Frankie","A Woman In Love",SF062,4,SF062,SF,1," 2/27/13"
"Lamar, Holly","So This Is Life",CB60236,9,CB60236,CB,1," 2/27/13"
"Lamar, Holly","These Are The Days",SC8784,11,SC8784,SC,1," 2/27/13"
"Lamar, Holly",Unkissed,CB60247,3,CB60247,CB,1," 2/27/13"
"Lambert, Miranda","Me And Charlie Talking",SC8907,14,SC8907,SC,1," 2/27/13"
"Lamond, George","Que Te Vas",SC2211,4,SC2211,SC,1," 2/27/13"
"Lamontagne, Ray",Trouble,PHR0502,1,PHR0502,PH,1," 2/27/13"
"Lampa, Rachael",Blessed,CBE4-29,4,CBE4-29,CB,1," 2/27/13"
"Lampa, Rachael","Live For You",SC8661,5,SC8661,SC,1," 2/27/13"
"Lampa, Rachael","No Greater Love",SC8828,15,SC8828,SC,1," 2/27/13"
"Land Of Confusion","Collins, Phil",BS8617,14,BS8617,BS,1," 2/27/13"
Landslide,"Fleetwood Mac",TU060,4,TU060,TU,1," 2/27/13"
"Landslide (Album Version)","Dixie Chicks",TU185,7,TU185,TU,1," 2/27/13"
"Lane, Cristy","One Day At A Time",DK077,15,DK077,DK,1," 2/27/13"
"Lane, Cristy","Simple Little Words",SC7568,10,SC7568,SC,1," 2/27/13"
"Lane, Frankie","Answer Me",SF062,5,SF062,SF,1," 2/27/13"
"Lane, Frankie","Making Memories",AH8012,4,AH8012,AH,1," 2/27/13"
"Lane, Frankie","Rain Rain Rain",SF063,3,SF063,SF,1," 2/27/13"
"Lane, Frankie",Rawhide,SAVP08,15,SAVP08,SA,1," 2/27/13"
"Lang Kd","Constant Craving",SF054,9,SF054,SF,1," 2/27/13"
"Lang, Johnny","Lie To Me",SC8562,12,SC8562,SC,1," 2/27/13"
"Lang, Johnny","Still Rainin'",SC8515,11,SC8515,SC,1," 2/27/13"
"Lang, K.d.","Big Big Love",CB60152,12,CB60152,CB,1," 2/27/13"
"Lang, K.d.","Constant Craving",CB60152,10,CB60152,CB,1," 2/27/13"
"Lang, K.d.","Down To My Last Cigarette",CBE4-22,6,CBE4-22,CB,1," 2/27/13"
"Lang, K.D.",Helpless,PHR0411,9,PHR0411,PH,1," 2/27/13"
"Lang, K.d.","I'm Down To My Last Cigarette",DK091,2,DK091,DK,1," 2/27/13"
"Lang, K.d.","If I Were You",SC8220,6,SC8220,SC,1," 2/27/13"
"Lang, K.d.","Joker, The",SC8389,11,SC8389,SC,1," 2/27/13"
