"T Pain feat. Chris Brown","Look At Her Go",PHMU1202,2,PHMU1202,PH,1," 2/27/13"
"T Rex","Hot Love",SF166,14,SF166,SF,1," 2/27/13"
"T Spoon","Sex On The Beach",SF126,1,SF126,SF,1," 2/27/13"
T'pau,"China In Your Hand",SF013,12,SF013,SF,1," 2/27/13"
T'Pau,"Heart & Soul",SF108,2,SF108,SF,1," 2/27/13"
T'pau,"Heart & Soul",BL21,11,BL21,BL,1," 2/27/13"
T'pau,"Heart And Soul",SC8447,10,SC8447,SC,1," 2/27/13"
"T- Pain","Sho-Time (Pleasure Thing)",PHMU1204,9,PHMU1204,PH,1," 2/27/13"
T-Pain,"Drowning Again",PHMU1201,4,PHMU1201,PH,1," 2/27/13"
T-Pain,"Reverse Cowgirl",PHMU1006,6,PHMU1006,PH,1," 2/27/13"
T-Pain,"When I Come Home",PHMU1205,9,PHMU1205,PH,1," 2/27/13"
"T-Pain feat Chris Brown","Best Love Song",PHMU1105,7,PHMU1105,PH,1," 2/27/13"
"T-Pain Feat Chris Brown",Freeze,PHMP0904,5,PHMP0904,PH,1," 2/27/13"
"T-Pain Feat Ludacris","Chopped N Screwed",PHMU0901,3,PHMU0901,PH,1," 2/27/13"
"T-Pain feat Teddy Penderazdoun & Joey Ga","Booty Work (One Cheek At A Time)",PHMU1107,2,PHMU1107,PH,1," 2/27/13"
"T. Rex","Bang A Gong",BL30,15,BL30,BL,1," 2/27/13"
"T. Rex","Ride A White Swan",SF035,3,SF035,SF,1," 2/27/13"
"T. Rex","Twentieth Century Boy",SF024,1,SF024,SF,1," 2/27/13"
T.a.t.u.,"All The Things She Said",SC8852,15,SC8852,SC,1," 2/27/13"
T.A.T.U.,"Not Gonna Get Us",SF205,4,SF205,SF,1," 2/27/13"
T.a.t.u.,"Not Gonna Get Us",THMP0307,12,THMP0307,TH,1," 2/27/13"
T.I.,24's,PHU0310,1,PHU0310,PH,1," 2/27/13"
T.I.,"Bring 'em Out",PHU0502,7,PHU0502,PH,1," 2/27/13"
T.I.,"Let's Get Away",PHU0410,7,PHU0410,PH,1," 2/27/13"
T.I.,"No Matter What",PHMU0808,9,PHMU0808,PH,1," 2/27/13"
T.i.,"Rubber Band Man",PHU0404,6,PHU0404,PH,1," 2/27/13"
T.I.,"Whatever You Like",PHMU0811,1,PHMU0811,PH,1," 2/27/13"
"T.I. wvocal",24's,PHU0310,10,PHU0310,PH,1," 2/27/13"
Taco,"Puttin' On The Ritz",CBE1-24,8,CBE1-24,CB,1," 2/27/13"
"Taff, Russ","Bein' Happy",MM6103,7,MM6103,MM,1," 2/27/13"
"Taff, Russ","One & Only Love",SC8163,13,SC8163,SC,1," 2/27/13"
"Tag Team","Whoomp There It Is",SC8111,8,SC8111,SC,1," 2/27/13"
"Tag Team","Whoop! There It Is",SC2024,7,SC2024,SC,1," 2/27/13"
"Taio Cruz",Dynamite,PHMU1008,5,PHMU1008,PH,1," 2/27/13"
"Taio Cruz feat Ke$ha","Dirty Picture",PHMP1012,2,PHMP1012,PH,1," 2/27/13"
"Taio Cruz feat Kylie Minogue",Higher,PHMP1101,7,PHMP1101,PH,1," 2/27/13"
