"Y & T","Rescue Me",SC8713,12,SC8713,,SC,1," 2/27/13"
Y&T,"Mean Streak",SC8791,10,SC8791,,SC,1," 2/27/13"
Y&T,"Summertime Girls",SC8597,9,SC8597,,SC,1," 2/27/13"
Y.M.C.A.,"Village People, The",AH8014,3,AH8014,,AH,1," 2/27/13"
"Ya Me Canse","Garza, David Lee",SC7106,13,SC7106,,SC,1," 2/27/13"
"Ya Te Vi","Garcia, Elsa",SC7106,11,SC7106,,SC,1," 2/27/13"
"Yankee Doodle Dandy","Give My Regards To Broadway",MMBH1-2,10,MMBH1-2,,MM,1," 2/27/13"
"Yankee Grey","All Things",SD065,12,SD065,,SD,1," 2/27/13"
"Yankee Grey","All Things Considered",CBEP461-4,7,CBEP461-4,,CB,1," 2/27/13"
"Yankee Grey","Another Nine Minutes",SC8590,14,SC8590,,SC,1," 2/27/13"
"Yankee Grey","This Time Around",CB60204,13,CB60204,,CB,1," 2/27/13"
"Yankovic, Weird Al","Achy Breaky Heart",SGB23,14,SGB23,,SG,1," 2/27/13"
"Yankovic, Weird Al","Achy Breaky Song",MM6330,12,MM6330,,MM,1," 2/27/13"
"Yankovic, Weird Al","Addicted To Spuds",SGB23,8,SGB23,,SG,1," 2/27/13"
"Yankovic, Weird Al",Alimony,SGB23,7,SGB23,,SG,1," 2/27/13"
"Yankovic, Weird Al","Amish Paradise",SGB23,9,SGB23,,SG,1," 2/27/13"
"Yankovic, Weird Al","Another Rides The Bus",SGB23,4,SGB23,,SG,1," 2/27/13"
"Yankovic, Weird Al","Bedrock Anthem",SC2267,6,SC2267,,SC,1," 2/27/13"
"Yankovic, Weird Al","Christmas At Ground Zero",CB60209,8,CB60209,,CB,1," 2/27/13"
"Yankovic, Weird Al","Dare To Be Stupid",SC7598,9,SC7598,,SC,1," 2/27/13"
"Yankovic, Weird Al","Eat It",SGB23,16,SGB23,,SG,1," 2/27/13"
"Yankovic, Weird Al",Fat,SGB23,2,SGB23,,SG,1," 2/27/13"
"Yankovic, Weird Al","Grapefruit Diet",SGB23,11,SGB23,,SG,1," 2/27/13"
"Yankovic, Weird Al",Gump,SC2267,4,SC2267,,SC,1," 2/27/13"
"Yankovic, Weird Al","I Lost On Jeopardy",SC2220,8,SC2220,,SC,1," 2/27/13"
