"10,000 Maniacs","Because The Night",SC8113,5,SC8113,SC,1," 2/27/13"
"3 Colours Red","Beautiful Day",SF130,13,SF130,SF,1," 2/27/13"
"3 Doors Down","Be Like That",CBE3-25,12,CBE3-25,CB,1," 2/27/13"
311,"Beyond The Grey Sky",PHR0402,5,PHR0402,PH,1," 2/27/13"
"5 DAYS IN MAY","BLUE RODEO",KAR004,1,KAR004,KA,1," 2/27/13"
"50 Cent feat Ne-Yo","Baby By Me",PHMU1001,2,PHMU1001,PH,1," 2/27/13"
"98 Degrees","Because Of You",CBEP457-3,7,CBEP457-3,CB,1," 2/27/13"
"A Teens","Bouncing Off The Ceiling (Upside Down)",CBEP470-3,3,CBEP470-3,CB,1," 2/27/13"
Abc,"Be Near Me",SAVP26,6,SAVP26,SA,1," 2/27/13"
"Abdul, Paula","Blowing Kisses In The Wind",SAVP23,10,SAVP23,SA,1," 2/27/13"
Ac-Dc,"Back In Black",AH8005,2,AH8005,AH,1," 2/27/13"
Ac-Dc,"Big Balls",SC8532,11,SC8532,SC,1," 2/27/13"
Accept,"Balls To The Wall",SC8713,5,SC8713,SC,1," 2/27/13"
"Ace Of Base","Beautifil Life",PHM9601,1,PHM9601,PH,1," 2/27/13"
"Ad Libs, The","Boy From New York City, The",MMOLD04,17,MMOLD04,MM,1," 2/27/13"
"Ad Libs, The wvocal","Boy From New York City, The",SC2079,10,SC2079,SC,1," 2/27/13"
"Adams, Bryan","Back To You",CB90201,15,CB90201,CB,1," 2/27/13"
"Adams, Bryan","Best Of Me, The",SGB038,17,SGB038,SG,1," 2/27/13"
"Adkins, Trace","Big Time",CHM9808,17,CHM9808,CH,1," 2/27/13"
Aerosmith,"Baby, Please Don't Go",PHR0406,5,PHR0406,PH,1," 2/27/13"
Aerosmith,"Back In The Saddle",SC8430,6,SC8430,SC,1," 2/27/13"
Aerosmith,"Big 10 Inch Record",SGB64,4,SGB64,SG,1," 2/27/13"
Aerosmith,"Big Ten Inch Record",SC8117,8,SC8117,SC,1," 2/27/13"
Afroman,"Because I Got High",SC8720,7,SC8720,SC,1," 2/27/13"
"Aguilera, Christina",Beautiful,CBEP473-1,17,CBEP473-1,CB,1," 2/27/13"
"Aguilera, Christina",Blessed,SC8618,12,SC8618,SC,1," 2/27/13"
"Aiken, Clay","Bridge Over Troubled Water",SC8839,15,SC8839,SC,1," 2/27/13"
"Aiken, Clay wvocal","Bridge Over Troubled Water",SC3375,16,SC3375,SC,1," 2/27/13"
"Ain't Goin' Down Til The Sun Comes Up","Brooks, Garth",RSZ609,10,RSZ609,RS,1," 2/27/13"
"Akens, Jewel","Birds And The Bees, The",DK048,18,DK048,DK,1," 2/27/13"
"Akins, Rhett","Better Than It Used To Be",CB20026,12,CB20026,CB,1," 2/27/13"
Alabama,"Between The Two Of Them",SC8236,1,SC8236,SC,1," 2/27/13"
Alabama,"Born Country",DK089,15,DK089,DK,1," 2/27/13"
Alabamaÿ,"Born Country",CB90153,9,CB90153,CB,1," 2/27/13"
Alcohol,"Barenaked Ladies",RSZ604,15,RSZ604,RS,1," 2/27/13"
"Alice Deejay","Better Off Alone",CB30005,13,CB30005,CB,1," 2/27/13"
"Alice Deejay & DJ Jurgen","Better Off Alone",SF148,1,SF148,SF,1," 2/27/13"
"All Saints","Black Coffee",SF171,16,SF171,SF,1," 2/27/13"
"All Saints","Bootie Call",SF123,12,SF123,SF,1," 2/27/13"
"All Time Low","Backseat Serenade",PHMP1212,4,PHMP1212,PH,1," 2/27/13"
"All You Wanted","Branch, Michelle",THP0204,15,THP0204,TH,1," 2/27/13"
All-4-One,"Beautiful As You",CB30023,9,CB30023,CB,1," 2/27/13"
"Allen, Charlie","Better Said Than Done",CB60248,8,CB60248,CB,1," 2/27/13"
"Allen, Deborah","Baby I Lied",SC7570,5,SC7570,SC,1," 2/27/13"
"Allen, Deborah","Break These Chains",SC8228,13,SC8228,SC,1," 2/27/13"
"Almost Doesn't Count",Brandy,PHT9908,8,PHT9908,PH,1," 2/27/13"
Alphaville,"Big In Japan",SF037,4,SF037,SF,1," 2/27/13"
Ambrosia,"Biggest Part Of Me",SC8201,14,SC8201,SC,1," 2/27/13"
"Amen Corner","Bend Me Shape Me",SF065,15,SF065,SF,1," 2/27/13"
"American Breed","Bend Me, Shape Me",DK086,12,DK086,DK,1," 2/27/13"
"American Honky-tonk Bar Association","Brooks, Garth",RSZ609,9,RSZ609,RS,1," 2/27/13"
"Amigo Con Derecho No",Bronco,SC7107,15,SC7107,SC,1," 2/27/13"
"Anderson, Bill","Bright Lights And Country Music",SC8506,15,SC8506,SC,1," 2/27/13"
"Anderson, John","Bend It 'til It Breaks",SC8152,6,SC8152,SC,1," 2/27/13"
"Anderson, John","Bend It Until It Breaks",CB60148,12,CB60148,CB,1," 2/27/13"
"Anderson, John","Bend Until It Breaks",CB90092,7,CB90092,CB,1," 2/27/13"
"Anderson, John","Big Revival, The",SC8698,3,SC8698,SC,1," 2/27/13"
"Anderson, John","Black Sheep",SC8541,5,SC8541,SC,1," 2/27/13"
"Andrews Sisters, The","Bei Mir Bist Du Schoen",SAVP06,18,SAVP06,SA,1," 2/27/13"
"Andrews Sisters, The","Boogie Woogie Bugle Boy",SC7505,14,SC7505,SC,1," 2/27/13"
"Angeline Is Coming Home","Badlees, The",THM9609,3,THM9609,TH,1," 2/27/13"
"Angie Stone",Baby,PHMU0802,8,PHMU0802,PH,1," 2/27/13"
"Animals, The","Boom Boom",DK073,10,DK073,DK,1," 2/27/13"
"Anita Baker","Body & Soul",SC8150,3,SC8150,SC,1," 2/27/13"
"Anne Murray","Broken Hearted Me",SC8398,10,SC8398,SC,1," 2/27/13"
"Another Day In Paradise","Brandy & Ray J.",THH0204,15,THH0204,TH,1," 2/27/13"
"Another Level","Be Alone No More",SF119,7,SF119,SF,1," 2/27/13"
"Anthony Hamilton","Best Of Me",PHMU1205,5,PHMU1205,PH,1," 2/27/13"
"Anthony, Ray","Bunny Hop",SC8330,3,SC8330,SC,1," 2/27/13"
Aqua,"Barbie Girl",SC8395,10,SC8395,SC,1," 2/27/13"
"Arie, India","Brown Skin",MM6394,7,MM6394,MM,1," 2/27/13"
"Armstrong, Louis","Blueberry Hill",SAVP06,15,SAVP06,SA,1," 2/27/13"
"Arnold, Eddy","Bouquet Of Roses",CB20219,10,CB20219,CB,1," 2/27/13"
"As Long As You Love Me","Backstreet Boys, The",PHM9712,7,PHM9712,PH,1," 2/27/13"
"As Time Goes By","Bennett, Tony",JV0032,7,JV0032,JV,1," 2/27/13"
"As Usual","Brenda Lee",SF084,9,SF084,SF,1," 2/27/13"
Ashanti,Baby,CB30026,15,CB30026,CB,1," 2/27/13"
"Ashanti wvocal",Baby,PHU0212,18,PHU0212,PH,1," 2/27/13"
"Asher Roth feat Cee-Lo","Be By Myself",PHMP0908,7,PHMP0908,PH,1," 2/27/13"
"Asleep At The Wheel & Lyle Lovett","Blues For Dixie",SC8309,4,SC8309,SC,1," 2/27/13"
"At The Stars","Better Than Ezra",PHT9904,7,PHT9904,PH,1," 2/27/13"
"Ataris, The","Boys Of Summer, The",MM6392,14,MM6392,MM,1," 2/27/13"
"Atomic Kitten","Be With You",SF200,7,SF200,SF,1," 2/27/13"
"Austin, Patti & James Ingram","Baby, Come To Me",CBEP467-1,17,CBEP467-1,CB,1," 2/27/13"
"Austin, Patty & James Ingram","Baby Come To Me",CBEP471-3,1,CBEP471-3,CB,1," 2/27/13"
"Autrey, Gene","Back In The Saddle",SC8509,10,SC8509,SC,1," 2/27/13"
"Avalon, Frankie","Beauty School Dropout",SC2055,6,SC2055,SC,1," 2/27/13"
"B., Stevie","Because I Love You",MM6040,2,MM6040,MM,1," 2/27/13"
"B.o.B feat Morgan Freeman","Bombs Away",PHMU1302,7,PHMU1302,PH,1," 2/27/13"
"B2K & Fabolous","Bada Boom",PHU0403,8,PHU0403,PH,1," 2/27/13"
"B2K & P. Diddy","Bump Bump Bump",PHU0302,4,PHU0302,PH,1," 2/27/13"
"B2k & P. Diddy","Bump, Bump, Bump",THH0304,10,THH0304,TH,1," 2/27/13"
"B2K & P. Diddy","Bump, Bump, Bump",SC8805,15,SC8805,SC,1," 2/27/13"
"B2K & P. Diddy wvocal","Bump Bump Bump",PHU0302,13,PHU0302,PH,1," 2/27/13"
BABY,"BLAKE SHELTON",TT161,17,TT161,TT,1," 2/27/13"
Babybird,"Bad Old Man",SF121,11,SF121,SF,1," 2/27/13"
"Back In The U.S.S.R.","Beatles, The",KJT07,9,KJT07,KJ,1," 2/27/13"
"Backstreet Boys, The","Back To Your Heart",SC8553,9,SC8553,SC,1," 2/27/13"
"Bad Boy This Bad Boy That","Bad Boy's Da Band",PHU0312,5,PHU0312,PH,1," 2/27/13"
"Bad Company","Bad Company",SC8404,6,SC8404,SC,1," 2/27/13"
"BAD TIMING","BLUE RODEO",KAR004,5,KAR004,KA,1," 2/27/13"
"Bad Touch, The","Bloodhound Gang, The",AMS2001,20,AMS2001,AM,1," 2/27/13"
Badfinger,"Baby Blue",SC8706,11,SC8706,SC,1," 2/27/13"
"Badu, Erykah","Bag Lady",SC8637,13,SC8637,SC,1," 2/27/13"
"Baha Men, The","Best Years Of Our Lives",MM6343,13,MM6343,MM,1," 2/27/13"
"Baker, Anita","Body And Soul",DK093,7,DK093,DK,1," 2/27/13"
"Baker, Chet","But Not For Me",SAVP35,4,SAVP35,SA,1," 2/27/13"
"Bandy, Moe","Bandy The Rodeo Clown",CB90117,6,CB90117,CB,1," 2/27/13"
"Bandy, Moe","Barstool Mountain",CB90117,13,CB90117,CB,1," 2/27/13"
"Bangles, The","Be With You",CBE2-23,3,CBE2-23,CB,1," 2/27/13"
"Banton, Pato","Baby Come Back",SF050,1,SF050,SF,1," 2/27/13"
"Barbara Ann","Beach Boys, The",BS8517,1,BS8517,BS,1," 2/27/13"
"Bareilles, Sara","Bottle It Up",PHMP0807,2,PHMP0807,PH,1," 2/27/13"
"Barenaked Ladies","Brian Wilson",SC8562,13,SC8562,SC,1," 2/27/13"
"Bay City Rollers, The","Bye Bye Baby",SF101,13,SF101,SF,1," 2/27/13"
BBMak,"Back Here",SC8048,4,SC8048,SC,1," 2/27/13"
Bbmak,"Back Here",SC8616,12,SC8616,SC,1," 2/27/13"
BBMak,"Back Here",CBEP473-4,15,CBEP473-4,CB,1," 2/27/13"
"Be My Yoko Ono","Barenaked Ladies",RSZ604,16,RSZ604,RS,1," 2/27/13"
"Be True To Your School","Beach Boys, The",BS8517,2,BS8517,BS,1," 2/27/13"
"Beach Boys","Barbara Ann",CBE3-18,1,CBE3-18,CB,1," 2/27/13"
"Beach Boys, The","Barbara Ann",DK039,10,DK039,DK,1," 2/27/13"
"Beastie Boys, The","Brass Monkey",SC8612,6,SC8612,SC,1," 2/27/13"
