"10,000 Maniacs","Candy Everybody Wants",DK082,4,DK082,DK,1," 2/27/13"
112,"Come See Me",SC8357,10,SC8357,SC,1," 2/27/13"
"2 Pac","California Love",MM6170,14,MM6170,MM,1," 2/27/13"
"2 Pac","California Love (Original Version)",SC8875,8,SC8875,SC,1," 2/27/13"
"2 Pac",Changes,MM6380B,2,MM6380B,MM,1," 2/27/13"
"3 Doors Down","Citizen Soldier",PHMP0903,8,PHMP0903,PH,1," 2/27/13"
311,"Creatures (For A While)",THMR0311,4,THMR0311,TH,1," 2/27/13"
"38 Special","Caught Up In You",SC8146,9,SC8146,SC,1," 2/27/13"
"4 Runner","Cain's Blood",MM6099,14,MM6099,MM,1," 2/27/13"
"A Moment Like This","Clarkson, Kelly",PHM0211,4,PHM0211,PH,1," 2/27/13"
Aaliyah,"Come Over",THMH0310,9,THMH0310,TH,1," 2/27/13"
"Aaliyah wvocal","Come Over",PHM0309,17,PHM0309,PH,1," 2/27/13"
"Aaliyahÿ& Tank","Come Over",CB30037,10,CB30037,CB,1," 2/27/13"
"Aaron Alexander","Crazy Luv",PHMU1106,8,PHMU1106,PH,1," 2/27/13"
"Aaron's Party Come And Get It","Carter, Aaron",TUM001,1,TUM001,TU,1," 2/27/13"
Abacab,"Collins, Phil",BS8617,17,BS8617,BS,1," 2/27/13"
Abba,Chiquita,SAVP17,1,SAVP17,SA,1," 2/27/13"
"Abdul, Paula","Cold Hearted",SC8264,11,SC8264,SC,1," 2/27/13"
"Absolutely Not","Cox, Deborah",THH0204,12,THH0204,TH,1," 2/27/13"
"Ace Of Base","Cruel Summer",MM6250,12,MM6250,MM,1," 2/27/13"
"Achy Breaky Heart","Cyrus, Billy Ray",KJT06,3,KJT06,KJ,1," 2/27/13"
"Adams, Bryan","Can't Stop This Thing We Started",SC8235,8,SC8235,SC,1," 2/27/13"
"Adams, Bryan","Cloud No.9",SF143,11,SF143,SF,1," 2/27/13"
"Adams, Bryan","Cuts Like A Knife",SC7577,10,SC7577,SC,1," 2/27/13"
"Adams, Oleta","Circle Of One",SC8274,5,SC8274,SC,1," 2/27/13"
Adele,"Chasing Pavements",PHMP0810,8,PHMP0810,PH,1," 2/27/13"
"Adkins, Trace",Chrome,CBE4-26,15,CBE4-26,CB,1," 2/27/13"
Adrienne,Calling,PHR0207,2,PHR0207,PH,1," 2/27/13"
Aerosmith,Crazy,SF021,15,SF021,SF,1," 2/27/13"
"After 7","Can't Stop",DK062,1,DK062,DK,1," 2/27/13"
"After All",Cher,RSZ606,6,RSZ606,RS,1," 2/27/13"
"After Midnight","Clapton, Eric",PI005,17,PI005,PI,1," 2/27/13"
"Against All Odds","Collins, Phil",BS8617,1,BS8617,BS,1," 2/27/13"
"Aguilera, Christina","Can't Hold Us Down",SF209,2,SF209,SF,1," 2/27/13"
"Aguilera, Christina","Come On Over",MM6316,6,MM6316,MM,1," 2/27/13"
"Aguilera, Christina","Come On Over (All I Want Is You)",CBE2-29,9,CBE2-29,CB,1," 2/27/13"
"Aguilera, Christina & Lil Kim","Can't Hold Us Down",CB30040,3,CB30040,CB,1," 2/27/13"
"Aguilera, Christina & Lil' Kim","Can't Hold Us Down",SC8844,14,SC8844,SC,1," 2/27/13"
"Aguilera, Christina & Lil' Kim wvocal","Can't Hold Us Down",PHM0310,15,PHM0310,PH,1," 2/27/13"
"Aguilera, Christina & Missy Elliott","Car Wash",SC8888,9,SC8888,SC,1," 2/27/13"
"Aguilera, Christina & Missy Elliott wvoc","Car Wash",PHM0411,12,PHM0411,PH,1," 2/27/13"
"Ain't No Pleasin' You","Chas & Dave",PX14,4,PX14,PX,1," 2/27/13"
