Aaliyah,"Journey To The Past",SC8476,7,SC8476,,SC,1," 2/27/13"
"Absence Of Fear","Jewel & Natalie Imbruglia",BS6417,1,BS6417,,BS,1," 2/27/13"
Aerosmith,Jaded,SC8680,12,SC8680,,SC,1," 2/27/13"
Aerosmith,"Janie's Got A Gun",SC8635,7,SC8635,,SC,1," 2/27/13"
Aerosmith,"Just Push Play",PHR0108,4,PHR0108,,PH,1," 2/27/13"
"After All","James, Brett",THC0306,18,THC0306,,TH,1," 2/27/13"
"After All","Jarreau, Al",HV09,6,HV09,,HV,1," 2/27/13"
Alabama,"Jukebox In My Mind",SC8229,13,SC8229,,SC,1," 2/27/13"
Alright,"Jackson, Janet",BS8217,1,BS8217,,BS,1," 2/27/13"
"Always On Time","Ja Rule & Ashanti",PHM0205,7,PHM0205,,PH,1," 2/27/13"
"Amboy Dukes, The","Journey To The Center Of The Mind",SC8615,8,SC8615,,SC,1," 2/27/13"
"Angel Eyes","Jeff Healy Band, The",AH8001,1,AH8001,,AH,1," 2/27/13"
"Any Dream Will Do","Joseph & The Amazing Technicolor Dreamco",KC008,6,KC008,,KC,1," 2/27/13"
"Any Time, Any Place","Jackson, Janet",BS8217,2,BS8217,,BS,1," 2/27/13"
Anything,"Jaheim & Next",THP0206,10,THP0206,,TH,1," 2/27/13"
"Apples, Peaches, Pumpkin Pie","Jay & The Techniques",PLC08,12,PLC08,,PL,1," 2/27/13"
"April Wine","Just Between You And Me",SC8346,2,SC8346,,SC,1," 2/27/13"
"Are You Gonna Be My Girl",Jet,PHR0312,5,PHR0312,,PH,1," 2/27/13"
"Arnold, Eddy","Just A Little Lovin' Will Go A Long, Lon",SC7567,8,SC7567,,SC,1," 2/27/13"
"Austin, Sherrie",Jolene,CB60214,9,CB60214,,CB,1," 2/27/13"
"Avalon, Frankie","Just Ask Your Heart",SC8521,15,SC8521,,SC,1," 2/27/13"
"Baker, Anita","Just Because",MMRB2-3,17,MMRB2-3,,MM,1," 2/27/13"
"Baker, Lavern","Jim Dandy",SC8814,3,SC8814,,SC,1," 2/27/13"
"Bandy, Moe","Just Good Ol' Boys",CB90117,1,CB90117,,CB,1," 2/27/13"
"Bare, Bobby","Jogger, The",SC8707,11,SC8707,,SC,1," 2/27/13"
"Base, Rob & D.j. E-Z Rock","Joy And Pain",SC8746,13,SC8746,,SC,1," 2/27/13"
"Bedingfield, Daniel","James Dean ( I Wanna Know)",THP0303,14,THP0303,,TH,1," 2/27/13"
"Bee Gees, The","Jive Talkin'",DK027,17,DK027,,DK,1," 2/27/13"
"Beer Run","Jones, George & Garth Brooks",PHN0201,2,PHN0201,,PH,1," 2/27/13"
"Belafonte, Harry","Jamaica Farewell",SC8575,15,SC8575,,SC,1," 2/27/13"
"Belafonte, Harry","Jump In The Line",SC8770,3,SC8770,,SC,1," 2/27/13"
"Bennett, Tony","Jeepers Creepers",CBEP469-1,16,CBEP469-1,,CB,1," 2/27/13"
"Bennett, Tony","Just In Time",BL35,7,BL35,,BL,1," 2/27/13"
"Bering Strait","Jagged Edge Of A Broken Heart",CB60224,12,CB60224,,CB,1," 2/27/13"
"Berry, Chuck","Johnny B. Goode",MMGCP9803,18,MMGCP9803,,MM,1," 2/27/13"
"Best Things In Life Are Free, The","Jackson, Janet",BS8217,3,BS8217,,BS,1," 2/27/13"
"Between The Devil & Me","Jackson, Alan",TU101,1,TU101,,TU,1," 2/27/13"
"Big Mistake","Jewel & Natalie Imbruglia",BS6417,9,BS6417,,BS,1," 2/27/13"
"Biz Markie","Just A Friend",SC8875,7,SC8875,,SC,1," 2/27/13"
"Black Cat","Jackson, Janet",BS8217,4,BS8217,,BS,1," 2/27/13"
"Black Crowes, The","Jealous Again",SGB025,11,SGB025,,SG,1," 2/27/13"
"Black Oak Arkansas","Jim Dandy",SC8204,11,SC8204,,SC,1," 2/27/13"
"Bleed American","Jimmy Eat World",TU105,1,TU105,,TU,1," 2/27/13"
"Bogguss, Suzy","Just Like The Weather",SC8167,14,SC8167,,SC,1," 2/27/13"
Bomshel,"Just Fine",PHMC1009,2,PHMC1009,,PH,1," 2/27/13"
"Bon Jovi","Janie, Don't Take Your Love To Town",SC8395,8,SC8395,,SC,1," 2/27/13"
"Boxcar Willie","Joy To The World",CB60187,10,CB60187,,CB,1," 2/27/13"
"Brandon Jackson","Just a Good Friend",PHMC1111,9,PHMC1111,,PH,1," 2/27/13"
"Braxton, Toni","Just Be A Man About It",SC8625,15,SC8625,,SC,1," 2/27/13"
"Brian Setzer Orchestra","Jump Jive An' Wail",SC1999NSC06,9,SC1999NSC06,,SC,1," 2/27/13"
"Brian Setzer Orchestra, The","Jingle Bells",SC8900,4,SC8900,,SC,1," 2/27/13"
"Brian Setzer Orchestra, The","Jump Jive & Wail",PHT9808,7,PHT9808,,PH,1," 2/27/13"
"Brian Setzer Orchestra, The","Jump Jive 'n Wail",PHGH1900-6,4,PHGH1900-6,,PH,1," 2/27/13"
"Brian Setzer Orchestra, The","Jump Jive An Wail",PHM9809,8,PHM9809,,PH,1," 2/27/13"
"Brian Setzer Orchestra, The","Jump Jive An' Wail",SC7587,2,SC7587,,SC,1," 2/27/13"
"Brian Setzer Orchestra, The","Jump, Jive And Wail",MMCP2K01,7,MMCP2K01,,MM,1," 2/27/13"
"Broadman Hymnal","Jesus Is Calling",CB70017,9,CB70017,,CB,1," 2/27/13"
"Broadman Hymnal","Jesus Loves Me",CB70022,12,CB70022,,CB,1," 2/27/13"
"Broadman Hymnal","Jesus Loves The Little Children",CB70022,14,CB70022,,CB,1," 2/27/13"
"Broadman Hymnal","Jesus Paid It All",CB70021,2,CB70021,,CB,1," 2/27/13"
"Broadman Hymnal","Jesus! The Very Thought Of Thee",CB70020,12,CB70020,,CB,1," 2/27/13"
"Brown, Jim Ed & The Browns","Just For Old Time's Sake",SAVP39,10,SAVP39,,SA,1," 2/27/13"
"Bruno Mars","Just The Way You Are",PHMP1011,1,PHMP1011,,PH,1," 2/27/13"
"Buddy Jewel","Jesus, Elvis And Me",PHMC1206,9,PHMC1206,,PH,1," 2/27/13"
"Bungle In The Jungle","Jethro Tull",AH8002,2,AH8002,,AH,1," 2/27/13"
"Byrd, Tracy","Just Let Me Be In Love",MM6350,15,MM6350,,MM,1," 2/27/13"
"Captain Jack","Joel, Billy",AMS1507,3,AMS1507,,AM,1," 2/27/13"
Carousel,"June Is Busting Out All Over",MMBH1-5,9,MMBH1-5,,MM,1," 2/27/13"
"Carpenter, Mary Chapin","John Doe No. 24",SC8152,12,SC8152,,SC,1," 2/27/13"
"Carpenters, The",Jambalaya,DK032,13,DK032,,DK,1," 2/27/13"
"Carrie Underwood","Just A Dream",PHMC0801,1,PHMC0801,,PH,1," 2/27/13"
"Cars, The","Just What I Needed",SC8573,9,SC8573,,SC,1," 2/27/13"
"Cash, Johnny & June",Jackson,SC8262,12,SC8262,,SC,1," 2/27/13"
"Cash, Johnny & June Carter",Jackson,CBEP471-5,5,CBEP471-5,,CB,1," 2/27/13"
Casuals,Jesamine,SF070,8,SF070,,SF,1," 2/27/13"
"Change Clothes","Jay Z",PHU0402,7,PHU0402,,PH,1," 2/27/13"
Chattahoochie,"Jackson, Alan",KJT06,5,KJT06,,KJ,1," 2/27/13"
Cher,"Just Like Jesse James",SF112,11,SF112,,SF,1," 2/27/13"
"Chevy Van","Jones, Sammy",AH8002,4,AH8002,,AH,1," 2/27/13"
