"3 Doors Down",Kryptonite,CBEP470-2,1,CBEP470-2,CB,1," 2/27/13"
Abba,"Knowing Me Knowing You",MM6302,7,MM6302,MM,1," 2/27/13"
Again,"Kravitz, Lenny",PHM0101,5,PHM0101,PH,1," 2/27/13"
Ainsley,"Keep Me A Secret",SF202,13,SF202,SF,1," 2/27/13"
Alabama,"Katy Brought My Guitar Back Today",SC8301,1,SC8301,SC,1," 2/27/13"
Alabama,"Keepin' Up",CB90002,15,CB90002,CB,1," 2/27/13"
"All My Life","K-Ci & JoJo",PHM9803,6,PHM9803,PH,1," 2/27/13"
"Alone I Break",Korn,TU142,2,TU142,TU,1," 2/27/13"
Amazing,"Kelley, Josh",PHM0401,8,PHM0401,PH,1," 2/27/13"
"American Bad Ass","Kid Rock",TU098,2,TU098,TU,1," 2/27/13"
"American Woman","Kravitz, Lenny",PHT9915,6,PHT9915,PH,1," 2/27/13"
"Anderson, Lynn","Keep Me In Mind",CB90114,9,CB90114,CB,1," 2/27/13"
"Andre, Peter","Kiss The Girl",SF123,5,SF123,SF,1," 2/27/13"
"Andrews, Jessica",Karma,SD092,10,SD092,SD,1," 2/27/13"
"Andy Grammer","Keep Your Head Up",PHMP1109,2,PHMP1109,PH,1," 2/27/13"
"Anka, Paul","Kissin' On The Phone",SAVP06,6,SAVP06,SA,1," 2/27/13"
"Are You Gonna Go My Way","Kravitz, Lenny",BS5417,15,BS5417,BS,1," 2/27/13"
"Armstrong, Louis","Kiss To Build A Dream On, A",MM6037,15,MM6037,MM,1," 2/27/13"
Avant,"Kiss Goodbye",PHMU1101,9,PHMU1101,PH,1," 2/27/13"
Avant,"Kiss Goodbye (MPX)",PHMU1101,18,PHMU1101,PH,1," 2/27/13"
"Banks, Lloyd",Karma,PHU0501,1,PHU0501,PH,1," 2/27/13"
Bawitdaba,"Kid Rock",TU098,3,TU098,TU,1," 2/27/13"
"Beach Boys, The",Kokomo,CBE21,7,CBE21,CB,1," 2/27/13"
"Being Green","Kermit The Frog",KC009,14,KC009,KC,1," 2/27/13"
Believe,"Kravitz, Lenny",NT005,7,NT005,NT,1," 2/27/13"
"Bellamy Brothers","Kids Of The Baby Boom",CB90110,15,CB90110,CB,1," 2/27/13"
"Bellamy Brothers, The","Kids Of The Baby Boom",CBE4-19,4,CBE4-19,CB,1," 2/27/13"
"Benton, Brook",Kiddeo,DK070,11,DK070,DK,1," 2/27/13"
"Benton, Brook",Kiddio,CBEP459-4,16,CBEP459-4,CB,1," 2/27/13"
"Berry, John","Kiss Me In The Car",MM6080,10,MM6080,MM,1," 2/27/13"
Beth,Kiss,AH8002,1,AH8002,AH,1," 2/27/13"
"Better Than Ezra","King Of New Orleans",SC8348,14,SC8348,SC,1," 2/27/13"
"Black Crowes, The","Kicking My Heart Around",SC8515,14,SC8515,SC,1," 2/27/13"
"Black, Clint","Killin' Time",MM6011,13,MM6011,MM,1," 2/27/13"
Blackhawk,"King Of The World",MM6181,13,MM6181,MM,1," 2/27/13"
"Bon Jovi","Keep The Faith",SC8638,13,SC8638,SC,1," 2/27/13"
"Born To Be A Hick","Kid Rock",TU098,4,TU098,TU,1," 2/27/13"
"Brady Bunch, The","Keep On",SC8620,5,SC8620,SC,1," 2/27/13"
"Broadman Hymnal","Keep Walkin'",CB70023,8,CB70023,CB,1," 2/27/13"
"Brooks, Garth","Kickin' And Screamin'",SC8243,2,SC8243,SC,1," 2/27/13"
"Buble, Michael","Kissing A Fool",MM6410,2,MM6410,MM,1," 2/27/13"
Buckinghams,"Kind Of A Drag",CBEP472-5,11,CBEP472-5,CB,1," 2/27/13"
"Buckinghams, The","Kind Of A Drag",SGB049,9,SGB049,SG,1," 2/27/13"
Butterflyz,"Keys, Alicia",TU173,4,TU173,TU,1," 2/27/13"
"Bye Bye Birdie",Kids,DK1107,10,DK1107,DK,1," 2/27/13"
"Byrd, Tracy","Keeper Of The Stars, The",SC7595,14,SC7595,SC,1," 2/27/13"
"Byrd, Tracy wvocal","Keeper Of The Stars, The",SC2127,10,SC2127,SC,1," 2/27/13"
"Cali Swag District",Kickback,PHMU1105,8,PHMU1105,PH,1," 2/27/13"
"Call My Job","King, Albert",HV06B,13,HV06B,HV,1," 2/27/13"
"Carry On My Wayward Son",Kansas,DG01,13,DG01,DG,1," 2/27/13"
"Carter, Clarence","Kiss You All Over",SC2027,6,SC2027,SC,1," 2/27/13"
"Cartman, Eric","Kyles Mom's A Bitch",SGB12,12,SGB12,SG,1," 2/27/13"
"Cash, June Carter","Keep On The Sunny Side",SC3386,7,SC3386,SC,1," 2/27/13"
"Cash, June Carter wvocal","Keep On The Sunny Side",SC3386,15,SC3386,SC,1," 2/27/13"
Catatonia,"Karaoke Queen",SF140,9,SF140,SF,1," 2/27/13"
"Chanel, Bruce","Keep On",SF100,3,SF100,SF,1," 2/27/13"
"Cherish Feat Yung Joc",Killa,PHMU0804,6,PHMU0804,PH,1," 2/27/13"
"Children'sAnimal Songs",Kookaburra,SC7008,8,SC7008,SC,1," 2/27/13"
"Clarence Carter","Kiss You All Over",SC8117,9,SC8117,SC,1," 2/27/13"
"Clark, Terri","Keeper Of The Flame",SC8351,14,SC8351,SC,1," 2/27/13"
"Come Dancing","Kinks, The",AH8013,14,AH8013,AH,1," 2/27/13"
"Confederate Railroad, The","Keep On Rockin'",CB60115,11,CB60115,CB,1," 2/27/13"
"Courtesy Of The Red White And Blu","Keith, Toby",TU127,4,TU127,TU,1," 2/27/13"
"Courtesy Of The Red White And Blue","Keith, Toby",TU185,3,TU185,TU,1," 2/27/13"
"Courtesy Of The Red, White, & Blue","Keith, Toby",PHN0208,1,PHN0208,PH,1," 2/27/13"
Cowboy,"Kid Rock",TU098,5,TU098,TU,1," 2/27/13"
Crazy,"K-Ci & JoJo",PHM0103,9,PHM0103,PH,1," 2/27/13"
"Crow, Sheryl","Kiss That Girl",MM6340,7,MM6340,MM,1," 2/27/13"
"Culture Club","Karma Chameleon",SC8197,7,SC8197,SC,1," 2/27/13"
"Cummings, Chris","Kind Of Heart That Breaks, The",SD047,13,SD047,SD,1," 2/27/13"
"Dark & Grey","Kid Rock",TU098,6,TU098,TU,1," 2/27/13"
"Dave Hollister, Daveÿ& Az","Keep Lovin' You",CB30035,9,CB30035,CB,1," 2/27/13"
"Davis, Mac","Kiss It And Make It Better",CB90116,15,CB90116,CB,1," 2/27/13"
Dawn,"Knock Three Times",CBEP464-2,17,CBEP464-2,CB,1," 2/27/13"
"Dean, Billy, Suzy Bogguss & Jilian","Keep Mom And Dad In Love",CB60220,9,CB60220,CB,1," 2/27/13"
"Dean, Billy, Suzy Bogguss & Jillian","Keep Mom And Dad In Love",SC8711,15,SC8711,SC,1," 2/27/13"
"Deep Purple","Kentucky Woman",SC8724,13,SC8724,SC,1," 2/27/13"
"Deep Purple","Knocking At Your Back Door",SC8756,1,SC8756,SC,1," 2/27/13"
"Devil Without A Cause","Kid Rock",TU098,7,TU098,TU,1," 2/27/13"
"Diamond, Neil","Kentucky Woman",CBEP472-5,14,CBEP472-5,CB,1," 2/27/13"
"Dig In","Kravitz, Lenny",THR0112,18,THR0112,TH,1," 2/27/13"
"Don't Close Your Eyes",Kixx,AMS1501,4,AMS1501,AM,1," 2/27/13"
"Don't Think I'm Not",Kandi,TU022,9,TU022,TU,1," 2/27/13"
"Douglas, Carl","Kung Fu Fighting",DK003,14,DK003,DK,1," 2/27/13"
"Duglas, Carl","Kung Fu Fighting",SF104,3,SF104,SF,1," 2/27/13"
"Dupree, Simon & The Big Sound",Kites,SF087,13,SF087,SF,1," 2/27/13"
"Dylan, Bob","Knockin' On Heaven's Door",SC7529,15,SC7529,SC,1," 2/27/13"
"Elton John","Kiss The Bride",SC8182,10,SC8182,SC,1," 2/27/13"
"Elvis Presley","Kentucky Rain",SC8155,13,SC8155,SC,1," 2/27/13"
"Emerson, Lake & Palmer","Karn Evil #9",AH8003,15,AH8003,AH,1," 2/27/13"
"Exies, The",Kickout,THMR0308,4,THMR0308,TH,1," 2/27/13"
Exile,"Kiss You All Over",BL18,15,BL18,BL,1," 2/27/13"
"Fairchild, Barbara","Kid Stuff",SC8558,5,SC8558,SC,1," 2/27/13"
"Fist Of Rage","Kid Rock",TU098,8,TU098,TU,1," 2/27/13"
"Flack, Roberta","Killing Me Softly",DKM2030,4,DKM2030,DK,1," 2/27/13"
"Flack, Roberta","Killing Me Softly (With His Song)",DK041,9,DK041,DK,1," 2/27/13"
"Flack, Roberta","Killing Me Softly With His Song",SAVP13,8,SAVP13,SA,1," 2/27/13"
"Floyd, Eddie","Knock On Wood",CBEP459-2,16,CBEP459-2,CB,1," 2/27/13"
"Ford, Lita","Kiss Me Deadly",DK028,17,DK028,DK,1," 2/27/13"
Forever,"Kid Rock",THR0202,14,THR0202,TH,1," 2/27/13"
"Four Tops, The","Keeper Of The Castle",SC8204,3,SC8204,SC,1," 2/27/13"
Fugees,"Killing Me Softly",SAVP20,15,SAVP20,SA,1," 2/27/13"
