"10,000 Maniacs","Like The Weather",MM6066,7,MM6066,MM,1," 2/27/13"
"1999 Man United Squad","Lift It High (All About Belief)",SF140,16,SF140,SF,1," 2/27/13"
"3 Doors Down","Let Me Be Myself",PHMP0812,2,PHMP0812,PH,1," 2/27/13"
"3 Doors Down","Let Me Go",PHR0502,2,PHR0502,PH,1," 2/27/13"
"3 Doors Down",Loser,SC8622,3,SC8622,SC,1," 2/27/13"
"3 Of Hearts","Love Is Enough",CB60218,4,CB60218,CB,1," 2/27/13"
311,"Love Song",PHR0405,1,PHR0405,PH,1," 2/27/13"
"4 P.m.","Lay Down Your Love",SC8170,7,SC8170,SC,1," 2/27/13"
A-Ha,"Livingdaylights, The",SC8468,10,SC8468,SC,1," 2/27/13"
"Aaronson, Irving & The Commanders","Let's Misbehave",CBEP469-5,11,CBEP469-5,CB,1," 2/27/13"
Abba,"Lay All Your Love On Me",CBEP468-6,8,CBEP468-6,CB,1," 2/27/13"
Abc,"Look Of Love(Part One)",SC1999NSC07,7,SC1999NSC07,SC,1," 2/27/13"
ABC,"Look Of Love, The",SF111,2,SF111,SF,1," 2/27/13"
Abc,"Look Of Love, The",SC8719,14,SC8719,SC,1," 2/27/13"
"ABC 123","Levert, Gerald",NT005,10,NT005,NT,1," 2/27/13"
Abs,"Little Miss Perfect",SF209,5,SF209,SF,1," 2/27/13"
"Ace Of Base","Life Is A Flower",SF123,10,SF123,SF,1," 2/27/13"
"Ace Of Base","Living In Danger",SF010,12,SF010,SF,1," 2/27/13"
"Ace Of Base","Lucky Love",SC8257,11,SC8257,SC,1," 2/27/13"
"Adams, Bryan","Let's Make A Night To Remember",MM6173,12,MM6173,MM,1," 2/27/13"
Addicted,Lit,THR0204,13,THR0204,TH,1," 2/27/13"
"Adkins, Trace","Lonely Won't Leave Me Alone",SC8436,15,SC8436,SC,1," 2/27/13"
Aerosmith,"Last Child",SC8791,3,SC8791,SC,1," 2/27/13"
Aerosmith,"Love In An Elevator",SC8635,14,SC8635,SC,1," 2/27/13"
AFI,"Leaving Song (Pt 2), The",PHR0310,6,PHR0310,PH,1," 2/27/13"
Afi,"Leaving Song Pt.Ii, The",THMR0310,7,THMR0310,TH,1," 2/27/13"
"Aguilera, Christina","Lady Marmalade",CB90168,6,CB90168,CB,1," 2/27/13"
"Aguilera, Christina","Love For All Seasons",CB90168,10,CB90168,CB,1," 2/27/13"
"Aguilera, Christina","Love Will Find A Way",SC8657,14,SC8657,SC,1," 2/27/13"
"Aguilera, Christina & Lil' Kim & Mya & P","Lady Marmalade",CB30011,11,CB30011,CB,1," 2/27/13"
"Aguilera, Christina, Lil' Kim, Mya & Pin","Lady Marmalade",SC8695,12,SC8695,SC,1," 2/27/13"
"Ain't It Funny","Lopez, Jennifer",THP0203,13,THP0203,TH,1," 2/27/13"
"Ain't It Funny (pop Version)ÿ","Lopez, Jennifer",THPP14,11,THPP14,TH,1," 2/27/13"
"Air Supply","Lost In Love",SC8362,6,SC8362,SC,1," 2/27/13"
"Akins, Rhett","Love You Back",MM6169,14,MM6169,MM,1," 2/27/13"
"Akon & Styles P","Locked Up",PHU0411,8,PHU0411,PH,1," 2/27/13"
"Akon & Styles P wvocal","Locked Up",PHU0411,17,PHU0411,PH,1," 2/27/13"
Alabama,"Lady Down On Love",CBE3-05,15,CBE3-05,CB,1," 2/27/13"
Alabama,"Love In The First Degree",SC8355,14,SC8355,SC,1," 2/27/13"
Alabamaÿ,"Love In The First Degree",CB90153,4,CB90153,CB,1," 2/27/13"
Alda,"Little Bit More, A",SF130,4,SF130,SF,1," 2/27/13"
"Alicia Keys","Like Youll Never See Me",PHMU0801,2,PHMU0801,PH,1," 2/27/13"
"Alicia KeysJohn Mayer","Lesson Learned",PHMU0802,1,PHMU0802,PH,1," 2/27/13"
Alive,"Lopez, Jennifer",PHM0208,2,PHM0208,PH,1," 2/27/13"
Aliveÿ,"Lopez, Jennifer",THPP14,10,THPP14,TH,1," 2/27/13"
"All-American Rejects","Last Song, The",SC3379,7,SC3379,SC,1," 2/27/13"
"All-American Rejects wvocal","Last Song, The",PHR0308,15,PHR0308,PH,1," 2/27/13"
"All-American Rejects, The","Last Song, The",SC8839,7,SC8839,SC,1," 2/27/13"
"Allan, Gary","Learning How To Bend",PHMC0808,7,PHMC0808,PH,1," 2/27/13"
"Allan, Gary","Living In A House Full Of Love",SC8402,15,SC8402,SC,1," 2/27/13"
"Allan, Gary","Lovin' You Against My Will",CB60198,13,CB60198,CB,1," 2/27/13"
Allure,"Last Chance",PHM9803,9,PHM9803,PH,1," 2/27/13"
America,"Lonely People",CBEP474-4,16,CBEP474-4,CB,1," 2/27/13"
"Anderson, John","Let Go Of The Stone",CB20134,8,CB20134,CB,1," 2/27/13"
"Anderson, John","Long Hard Lesson Learned",SC8256,14,SC8256,SC,1," 2/27/13"
"Anderson, Lynn","Listen To A Country Song",CB80103,14,CB80103,CB,1," 2/27/13"
"Andrews Sisters, The","Lullaby Of Broadway",SC7553,9,SC7553,SC,1," 2/27/13"
"Andrews, Lee & The Hearts","Long Lonely Nights",MM6361,8,MM6361,MM,1," 2/27/13"
"Anka, Paul","Lonely Boy",SC8196,4,SC8196,SC,1," 2/27/13"
"Anne Murray","Love Song, A",SC8158,12,SC8158,SC,1," 2/27/13"
"Anthony Smith","Love Is Love Is Love",PHMC1007,8,PHMC1007,PH,1," 2/27/13"
"Apple, Fiona",Limp,SC8601,5,SC8601,SC,1," 2/27/13"
"Area Codes","Ludacris & Nate Dogg",THH0203,15,THH0203,TH,1," 2/27/13"
Ash,"Life Less Odinary",SF115,13,SF115,SF,1," 2/27/13"
"Ashton Shepherd","Look It Up",PHMC1104,6,PHMC1104,PH,1," 2/27/13"
"Aspects Of Love","Love Changes Everything",MMBH1-3,16,MMBH1-3,MM,1," 2/27/13"
Asshole,"Leary, Dennis",AMS2001,4,AMS2001,AM,1," 2/27/13"
"Astaire, Fred","Let's Call The Whole Thing Off",SC7599,1,SC7599,SC,1," 2/27/13"
"Atomic Kitten","Ladies Night",SF213,3,SF213,SF,1," 2/27/13"
"Atomic Kitten","Love Doesn't Have To Hurt",SF203,8,SF203,SF,1," 2/27/13"
Audioslave,"Like A Stone",THMR0304,11,THMR0304,TH,1," 2/27/13"
Audioslaveÿ,"Like A Stone",CB30036,15,CB30036,CB,1," 2/27/13"
"Austin, Sherrie","Little Bird",SC8608,14,SC8608,SC,1," 2/27/13"
"Austin, Sherrie","Lucky In Love",CHM9708,20,CHM9708,CH,1," 2/27/13"
"Average White Band","Let's Go Round Again",BL24,5,BL24,BL,1," 2/27/13"
"Az Yet & Peter Cetera","Last Night",SC8320,13,SC8320,SC,1," 2/27/13"
"B 52's, The","Love Shack",SC8106,13,SC8106,SC,1," 2/27/13"
"B-52'S, The","Love Shack",BL01,2,BL01,BL,1," 2/27/13"
"B-52's, The","Love Shack",SF015,6,SF015,SF,1," 2/27/13"
"Baby I Love U!","Lopez, Jennifer",PHM0311,4,PHM0311,PH,1," 2/27/13"
"Baby, Im Yours","Lewis, Barbara",DG09,6,DG09,DG,1," 2/27/13"
