112,"Only You",SC8295,4,SC8295,SC,1," 2/27/13"
"2 Evisa","Oh La La La",SF114,10,SF114,SF,1," 2/27/13"
"2 Pac & Eminem","One Day At A Time",PHU0404,4,PHU0404,PH,1," 2/27/13"
"5 Stairsteps","Ooh Child",SC8860,13,SC8860,SC,1," 2/27/13"
"50 Cent",Outlaw,PHMU1201,7,PHMU1201,PH,1," 2/27/13"
"5Th Dimension, The","One Less Bell To Answer",MMGSTA05,18,MMGSTA05,MM,1," 2/27/13"
Aaliyah,"One I Gave My Heart To, The",SC8422,7,SC8422,SC,1," 2/27/13"
Abba,"One Of Us",MM6360,8,MM6360,MM,1," 2/27/13"
"Abdul, Paula","Opposites Attract",DK095,11,DK095,DK,1," 2/27/13"
"Adams, Bryan","On A Day Like Today",SC8490,9,SC8490,SC,1," 2/27/13"
"Adams, Bryan","Only Thing That Looks Good On Me Is You,",MM6150,12,MM6150,MM,1," 2/27/13"
"Adams, Yolanda","Open My Heart",SC8637,14,SC8637,SC,1," 2/27/13"
"Aguilera, Christina",Ovbious,CB90168,12,CB90168,CB,1," 2/27/13"
"Air Supply","One That You Love, The",DK027,10,DK027,DK,1," 2/27/13"
"Air Supply","Out Of Nothing At All",SC8264,8,SC8264,SC,1," 2/27/13"
Alabama,"Of Course I'm Alright",CHM9801,18,CHM9801,CH,1," 2/27/13"
Alabama,"Old Flame",CB60022,11,CB60022,CB,1," 2/27/13"
Alabama,"On This Side Of The Moon",SC8306,15,SC8306,SC,1," 2/27/13"
Alabama,"Once Upon A Lifetime",DK088,10,DK088,DK,1," 2/27/13"
"All Or Nothing",O-Town,PHM0106,9,PHM0106,PH,1," 2/27/13"
"Allan, Gary","One, The",SC8745,7,SC8745,SC,1," 2/27/13"
"Allan, Gary wvocal","One, The",SC3300,10,SC3300,SC,1," 2/27/13"
"Allman Brothers Band, The","One Way Out",SC8675,13,SC8675,SC,1," 2/27/13"
"Alone Again (Naturally)","O'Sullivan, Gilbert",AH2013,7,AH2013,AH,1," 2/27/13"
"Alter Bridge","Open Your Eyes",PHR0410,2,PHR0410,PH,1," 2/27/13"
Anastacia,"One Day In Your Life",SC8768,3,SC8768,SC,1," 2/27/13"
Animotion,Obsession,SF037,8,SF037,SF,1," 2/27/13"
"Arnold, Eddy","Out Of The Blue",SC8321,11,SC8321,SC,1," 2/27/13"
Ashanti,"Only U",SC8908,12,SC8908,SC,1," 2/27/13"
Asia,"Only Time Will Tell",SC8552,14,SC8552,SC,1," 2/27/13"
"Astley, Rick","Ones You Love, The",MM6040,10,MM6040,MM,1," 2/27/13"
"Austin, Sherrie","One Solitary Tear",CHM9712,15,CHM9712,CH,1," 2/27/13"
"Authority Zero","One More Minute",THMR0303,14,THMR0303,TH,1," 2/27/13"
"Azar, Steve","One Good Reason Why",CB20553,11,CB20553,CB,1," 2/27/13"
Backstabbers,"O'Jays, The",DG09,7,DG09,DG,1," 2/27/13"
"Backstreet Boys, The","One, The",SF165,14,SF165,SF,1," 2/27/13"
"Badu, Erykah","On & On",SC8357,12,SC8357,SC,1," 2/27/13"
"Badu, Erykah","On And On",CBE3-25,2,CBE3-25,CB,1," 2/27/13"
"Banks, Lloyd","On Fire (Radio Version)",SC8879,8,SC8879,SC,1," 2/27/13"
"Barenaked Ladies","One Week",SC8640,11,SC8640,SC,1," 2/27/13"
"Barlow, Gary","Open Road",SF116,1,SF116,SF,1," 2/27/13"
"BB Mak","Out Of My Heart",PHM0210,6,PHM0210,PH,1," 2/27/13"
"Bb Mak","Out Of My Heart",MM6370,11,MM6370,MM,1," 2/27/13"
"Bb Mak","Out Of My Heart (Into Your Head)",CB30028,2,CB30028,CB,1," 2/27/13"
