"1910 Fruitgum Co.","1-2-3 Redlight",SC8191,11,SC8191,,SC,1," 2/27/13"
"21St Century Girls","21St Century Girls",SF140,10,SF140,,SF,1," 2/27/13"
"42Nd Street","42Nd Street",SC8127,12,SC8127,,SC,1," 2/27/13"
"50 Cent","21 Questions",SF207,4,SF207,,SF,1," 2/27/13"
"50 Cent & Nate Dogg","21 Questions",SC8853,3,SC8853,,SC,1," 2/27/13"
"50 Cent Feat. Nate Dogg","21 Questions",THMH0308,7,THMH0308,,TH,1," 2/27/13"
"50 Cent wvocal","21 Questions",PHU0306,13,PHU0306,,PH,1," 2/27/13"
Abs,"7 Ways",SF211,10,SF211,,SF,1," 2/27/13"
"Anderson, Bill","8 X 10",CB90218,3,CB90218,,CB,1," 2/27/13"
"Anthony David feat Algebra",4evermore,PHMU1108,3,PHMU1108,,PH,1," 2/27/13"
"Arika Kane","4 The Lovers",PHMU1008,8,PHMU1008,,PH,1," 2/27/13"
"Bare, Bobby","500 Miles Away From Home",CBE2-05,11,CBE2-05,,CB,1," 2/27/13"
"Beach Boys, The",409,SC8202,11,SC8202,,SC,1," 2/27/13"
"Berry, Len",1-2-3,DK002,13,DK002,,DK,1," 2/27/13"
Bomshel,"19 And Crazy",PHMC1004,5,PHMC1004,,PH,1," 2/27/13"
"Bowling For Soup",1985,MM6420,12,MM6420,,MM,1," 2/27/13"
"Boyz Ii Men","4 Seasons Of Loneliness",CBEP458-4,6,CBEP458-4,,CB,1," 2/27/13"
"Britney Spears",3,PHMP1001,1,PHMP1001,,PH,1," 2/27/13"
Brownstone,"5 Miles To Empty",SC8381,9,SC8381,,SC,1," 2/27/13"
"Byrd, Tracy","4 To 1 In Atlanta",SC8285,9,SC8285,,SC,1," 2/27/13"
"Canadian Ragweed","17 Cross",SC8807,12,SC8807,,SC,1," 2/27/13"
"Chapin, Harry","30,000 Pounds Of Bananas",SC8668,15,SC8668,,SC,1," 2/27/13"
Chicago,"25 Or 6 To 4",SC8261,11,SC8261,,SC,1," 2/27/13"
"Ciara & Missy Elliott","1, 2 Step",SC8908,11,SC8908,,SC,1," 2/27/13"
"Ciara & Missy Elliott","1,2 Step",PHU0501,9,PHU0501,,PH,1," 2/27/13"
"Connells, The",74-75,SF039,4,SF039,,SF,1," 2/27/13"
"Coolidge, Rita","(Your Love Has Lifted Me) Higher And Hig",SC7547,8,SC7547,,SC,1," 2/27/13"
