112,"Peaches And Cream",SC8702,2,SC8702,,SC,1," 2/27/13"
"2001 Space Odyssey","Presley, Elvis",KC006,1,KC006,,KC,1," 2/27/13"
"24 Hours From Tulsa","Pitney, Gene",PX14,6,PX14,,PX,1," 2/27/13"
3LW,"Playas Gon' Play",PHM0108,6,PHM0108,,PH,1," 2/27/13"
"50 Cent",P.I.M.P.,PHU0309,1,PHU0309,,PH,1," 2/27/13"
"50 Cent","P.I.M.P. (Radio Version)",SC8844,10,SC8844,,SC,1," 2/27/13"
"50 Cent","P.i.m.p. (Remix)",THMH-0311,1,THMH-0311,,TH,1," 2/27/13"
"50 Cent & Eminem","Patiently Waiting",SC8822,2,SC8822,,SC,1," 2/27/13"
"50 Cent wvocal",P.I.M.P.,PHU0309,10,PHU0309,,PH,1," 2/27/13"
911,"Party People (Friday Night)",SF118,9,SF118,,SF,1," 2/27/13"
Abc,"Poison Arrow",SC7564,7,SC7564,,SC,1," 2/27/13"
"Abdul, Paula","Promise Of A New Day, The",DK1104,13,DK1104,,DK,1," 2/27/13"
ACDC,"Problem Child",SC8869,11,SC8869,,SC,1," 2/27/13"
"Ace, Johnny","Pledging My Love",CBEP454-4,10,CBEP454-4,,CB,1," 2/27/13"
"Adam Ant","Prince Charming",SF111,1,SF111,,SF,1," 2/27/13"
"Adams, Bryan","Please Forgive Me",MM6038,13,MM6038,,MM,1," 2/27/13"
Adema,Promises,PHR0402,3,PHR0402,,PH,1," 2/27/13"
Aerosmith,Pink,SC8635,12,SC8635,,SC,1," 2/27/13"
"Al Dexter & His Troopers","Pistol Packin' Mama",SC8538,10,SC8538,,SC,1," 2/27/13"
Alabama,"Pass It On Down",DK097,15,DK097,,DK,1," 2/27/13"
Alabama,"Pictures And Memories",SC8275,14,SC8275,,SC,1," 2/27/13"
"Alicia Keys feat Beyonce","Put It In A Love Song",PHMU1003,1,PHMU1003,,PH,1," 2/27/13"
Alive,P.O.D.,PHR0201,6,PHR0201,,PH,1," 2/27/13"
Alive,"Pearl Jam",RSZ601,2,RSZ601,,RS,1," 2/27/13"
"All I Ask Of You","Phantom Of The Opera, The",PS1185,15,PS1185,,PS,1," 2/27/13"
"All Shook Up","Presley, Elvis",KJT09,15,KJT09,,KJ,1," 2/27/13"
"Allman Brothers Band, The","Please Call Home",SC8594,14,SC8594,,SC,1," 2/27/13"
"Always On My Mind","Presley, Elvis",KC006,3,KC006,,KC,1," 2/27/13"
Amie,"Pure Prairie League",AH8010,12,AH8010,,AH,1," 2/27/13"
"Amos, Tori","Precious Things",SC8562,9,SC8562,,SC,1," 2/27/13"
"Anderson, John",Paradise,SD023,11,SD023,,SD,1," 2/27/13"
"Anderson, Keith","Pickin' Wildflowers",PHN0503,8,PHN0503,,PH,1," 2/27/13"
"Anderson, Lynn","Promises, Promises",CB90114,4,CB90114,,CB,1," 2/27/13"
"Angel Of Music","Phantom Of The Opera, The",PS1185,11,PS1185,,PS,1," 2/27/13"
Animal,"Pearl Jam",RSZ601,16,RSZ601,,RS,1," 2/27/13"
"Anka, Paul","Puppy Love",DK080,14,DK080,,DK,1," 2/27/13"
"Anka, Paul","Put Your Head On My Shoulder",SC8118,15,SC8118,,SC,1," 2/27/13"
"Another Brick In The Wall","Pink Floyd",DG01,4,DG01,,DG,1," 2/27/13"
"Anthony Hamilton","Please Stay",PHMU1006,4,PHMU1006,,PH,1," 2/27/13"
"Any Way You Want Me","Presley, Elvis",THME01,2,THME01,,TH,1," 2/27/13"
"Are You Lonesome Tonight","Presley, Elvis",ZMP001,8,ZMP001,,ZM,1," 2/27/13"
"Astaire, Fred","Puttin' On The Ritz",NSC2000-07,7,NSC2000-07,,NS,1," 2/27/13"
"Austin, Sherrie","Put Your Heart Into It",CHM9804,18,CHM9804,,CH,1," 2/27/13"
"Away From Me","Puddle Of Mudd",PHR0401,7,PHR0401,,PH,1," 2/27/13"
"B-52's, The","Private Idaho",SC8522,13,SC8522,,SC,1," 2/27/13"
"Backstreet Boys, The","Perfect Fan, The",SC8613,9,SC8613,,SC,1," 2/27/13"
"Bailey & The Boys",Perfect,CB60096,14,CB60096,,CB,1," 2/27/13"
"Barbs And Roses",Pinmonkey,TU127,2,TU127,,TU,1," 2/27/13"
"Bare, Bobby","Please Don't Tell Me How The Story Ends",CB90118,10,CB90118,,CB,1," 2/27/13"
"Barenaked Ladies","Pinch Me",MM6316,10,MM6316,,MM,1," 2/27/13"
"Barnett, Mandy","Planet Of Love",CHM9705F,19,CHM9705F,,CH,1," 2/27/13"
"Barry White","Practice What You Preach",SC8145,15,SC8145,,SC,1," 2/27/13"
"Beastie Boys, The","Paul Revere",SC2312,3,SC2312,,SC,1," 2/27/13"
"Beatles, The","P.s. I Love You",SC8379,3,SC8379,,SC,1," 2/27/13"
"Beatles, The","P.S. I Love You",DK055,7,DK055,,DK,1," 2/27/13"
"Beatles, The","Paperback Writer",CBEP472-3,14,CBEP472-3,,CB,1," 2/27/13"
"Beatles, The","Penny Lane",CBEP472-4,16,CBEP472-4,,CB,1," 2/27/13"
"Beatles, The","Please Please Me",SAVP03,13,SAVP03,,SA,1," 2/27/13"
"Beautiful South","Perfect 10",SF126,6,SF126,,SF,1," 2/27/13"
"Bell Biv Devoe",Poison,MM6380B,9,MM6380B,,MM,1," 2/27/13"
Bellefire,"Perfect Bliss",SF180,16,SF180,,SF,1," 2/27/13"
"Benatar, Pat","Promises In The Dark",SC8815,9,SC8815,,SC,1," 2/27/13"
"Bennett, Tony","Put On A Happy Face",CB5018-03,12,CB5018-03,,CB,1," 2/27/13"
"Berry, John","Power Windows",SD068,11,SD068,,SD,1," 2/27/13"
"Best I Can, The","Perez, Chris",PHT9915,9,PHT9915,,PH,1," 2/27/13"
"Betcha By Golly Wow",Prince,PHM9701,6,PHM9701,,PH,1," 2/27/13"
"Better Man, A","Pearl Jam",RSZ601,10,RSZ601,,RS,1," 2/27/13"
"Beverly Craven","Promise Me",SF053,8,SF053,,SF,1," 2/27/13"
"Big Head Todd & The Monsters","Please Don't Tell Her",SC8389,15,SC8389,,SC,1," 2/27/13"
"Birdman feat Lil Wayne","Pop Bottles",PHMU0803,4,PHMU0803,,PH,1," 2/27/13"
Black,"Pearl Jam",RSZ601,13,RSZ601,,RS,1," 2/27/13"
"Black Sabbath",Paranoid,SF166,12,SF166,,SF,1," 2/27/13"
"Black Sabbath","Paranoid-War Pigs Live",SGB04,15,SGB04,,SG,1," 2/27/13"
"Black, Clint","Put Yourself In My Shoes",CBE3-07,11,CBE3-07,,CB,1," 2/27/13"
Blackhawk,"Postmarked Birmingham",CB60044,15,CB60044,,CB,1," 2/27/13"
Blackoutÿ,"Planet Earth",THR0305,16,THR0305,,TH,1," 2/27/13"
"Blow Me","Peters, Red",AMS2001,15,AMS2001,,AM,1," 2/27/13"
"Blowin' In The Wind","Peter, Paul & Mary",PT2007,15,PT2007,,PT,1," 2/27/13"
"Blue Suede Shoes","Presley, Elvis",THME01,4,THME01,,TH,1," 2/27/13"
Blurry,"Puddle Of Mudd",THR0202,11,THR0202,,TH,1," 2/27/13"
"Bolton, Michael","Please Forgive Me",MM6040,14,MM6040,,MM,1," 2/27/13"
"Bon Jovi","Please Come Home For Christmas",SC8781,14,SC8781,,SC,1," 2/27/13"
"Borrowed Blue","Porch People",PHMC1212,9,PHMC1212,,PH,1," 2/27/13"
Boston,"Peace Of Mind",SC8406,13,SC8406,,SC,1," 2/27/13"
"Bowling For Soup","Punk Rock 101",PHM0310,7,PHM0310,,PH,1," 2/27/13"
"Bowling For Soup wvocal","Punk Rock 101",PHM0310,16,PHM0310,,PH,1," 2/27/13"
"Boyz Ii Men","Pass You By",SC8654,13,SC8654,,SC,1," 2/27/13"
"Boyz Ii Men","Please Don't Go",SC8266,14,SC8266,,SC,1," 2/27/13"
"Brass In Pocket","Pretenders, The",BS3817,9,BS3817,,BS,1," 2/27/13"
Breath,"Pearl Jam",RSZ601,9,RSZ601,,RS,1," 2/27/13"
"Brickman, Jim Feat. Collin Raye & Susan",Peace,THMP-0311,2,THMP-0311,,TH,1," 2/27/13"
"Britney Spears","Piece Of Me",PHMP0802,5,PHMP0802,,PH,1," 2/27/13"
"Broadman Hymnal","Pass Me Not",CB70020,8,CB70020,,CB,1," 2/27/13"
"Broadman Hymnal","Peace Of Prayer, The",CB70023,15,CB70023,,CB,1," 2/27/13"
"Broadman Hymnal","Praise Him! Praise Him",CB70022,2,CB70022,,CB,1," 2/27/13"
"Broadman Hymnal","Praise Him, All Ye Little Children",CB70022,11,CB70022,,CB,1," 2/27/13"
"Brooks & Dunn","Put A Girl In It",PHMC0808,4,PHMC0808,,PH,1," 2/27/13"
"Brooks, Garth","Papa Loved Mama",MM6019,11,MM6019,,MM,1," 2/27/13"
"Brooks, Garth","Papa Loves Mama",SGB24,11,SGB24,,SG,1," 2/27/13"
"Brooks, Garth","Pushing Up Daisies",SC8745,6,SC8745,,SC,1," 2/27/13"
"Brooks, Garth wvocal","Pushing Up Daisies",SC3300,14,SC3300,,SC,1," 2/27/13"
"Brown & Bruwers","Picture Of You, A",SF038,9,SF038,,SF,1," 2/27/13"
"Brown, Cooter","Pure Bred Redneck",SC8232,3,SC8232,,SC,1," 2/27/13"
"Brown, James","Papa's Got A Brand New Bag",CBE2-21,3,CBE2-21,,CB,1," 2/27/13"
"Brown, James","Papa's Got A Brand New Bag (Part 1)",SC8563,15,SC8563,,SC,1," 2/27/13"
"Brown, James","Papa's Got A Brand New Bag Part 1",SC8704,7,SC8704,,SC,1," 2/27/13"
"Brown, James","Papa's Got A Brand New Bag (Part 1)",SC7571,15,SC7571,,SC,1," 2/27/13"
"Brown, James","Please Please Please",CBEP454-6,12,CBEP454-6,,CB,1," 2/27/13"
"Brown, Jim Ed","Pop A Top",SC8509,12,SC8509,,SC,1," 2/27/13"
"Bryan Adams","Please Forgive Me",SC8113,10,SC8113,,SC,1," 2/27/13"
"Budden, Joe","Pump It Up",PHU0307,2,PHU0307,,PH,1," 2/27/13"
"Buffett, Jimmy","Pencil Thin Mustache",SC8147,10,SC8147,,SC,1," 2/27/13"
"Buffett, Jimmy","Pirate Looks At Forty, A",SC8147,2,SC8147,,SC,1," 2/27/13"
"Buffett, Jimmy & Toby Keith","Piece Of Work",SC8897,10,SC8897,,SC,1," 2/27/13"
Bush,"People That We Love, The",PHR0201,7,PHR0201,,PH,1," 2/27/13"
"Busta Rhymes","Put Your Hands Where My Eyes Could See",SC8612,15,SC8612,,SC,1," 2/27/13"
"Busta Rhymes & P. Diddy & Pharrell","Pass The Courvoisier Part Ii",SC8757,8,SC8757,,SC,1," 2/27/13"
"Butthole Surfers",Pepper,SC8856,10,SC8856,,SC,1," 2/27/13"
"Bye Bye Birdie","Put On A Happy Face",MMBH1-3,18,MMBH1-3,,MM,1," 2/27/13"
"Byrd, Tracy","Pink Flamingos",CB60148,9,CB60148,,CB,1," 2/27/13"
"Byrd, Tracy","Put Your Hand In Mine",CHM0002,12,CHM0002,,CH,1," 2/27/13"
"Can't Help Falling In Love","Presley, Elvis",ZMP002,3,ZMP002,,ZM,1," 2/27/13"
"Can't Nobody Hold Me Down","Puff Daddy & Mase",HV06A,10,HV06A,,HV,1," 2/27/13"
"Cannon, Freddie","Palisades Park",DK039,14,DK039,,DK,1," 2/27/13"
"Carlton, Vanessa","Pretty Baby",THP0303,13,THP0303,,TH,1," 2/27/13"
"Carpenter, Mary Chapin","Passionate Kisses",MMGCOU05,20,MMGCOU05,,MM,1," 2/27/13"
"Carpenters, The","Please Mr. Postman",SAVP11,14,SAVP11,,SA,1," 2/27/13"
"Carroll, Dinah","Perfect Year, The",BL14,11,BL14,,BL,1," 2/27/13"
"Carter, Clarence",Patches,DK056,18,DK056,,DK,1," 2/27/13"
"Checker, Chubby","Pony Time",DK043,16,DK043,,DK,1," 2/27/13"
