10CC,"Rubber Bullets",SF071,1,SF071,SF,1," 2/27/13"
112,"Right Here For You",PHU0403,4,PHU0403,PH,1," 2/27/13"
"38 Special","Rockin' Into The Night",SC8479,3,SC8479,SC,1," 2/27/13"
"3rd Strike",Redemption,PHR0211,3,PHR0211,PH,1," 2/27/13"
"4 Runner",Ripples,SC8239,4,SC8239,SC,1," 2/27/13"
"4 Seasons","Rag Doll",SC8686,4,SC8686,SC,1," 2/27/13"
Aaliyah,"Rock The Boat",SC8726,5,SC8726,SC,1," 2/27/13"
"Abandoned Pools","Remedy, The",SC8768,9,SC8768,SC,1," 2/27/13"
Abba,"Ring Ring",MM6360,6,MM6360,MM,1," 2/27/13"
Abba,"Rock Me",MM6360,12,MM6360,MM,1," 2/27/13"
"Abdul, Paula","Rush Rush",SF036,6,SF036,SF,1," 2/27/13"
Ac-Dc,"Ride On",SC8830,4,SC8830,SC,1," 2/27/13"
Ac-Dc,"Rock 'n Roll Ain't Noise Pollution",SC8701,7,SC8701,SC,1," 2/27/13"
"Ace Hood Feat Trey Songz",Ride,PHMU0812,3,PHMU0812,PH,1," 2/27/13"
"Adam Brand","Ready For Love",PHMC1012,4,PHMC1012,PH,1," 2/27/13"
"Adams, Bryan","Run To You",SC7548,3,SC7548,SC,1," 2/27/13"
Adele,"Right As Rain",PHMP0903,9,PHMP0903,PH,1," 2/27/13"
Adele,"Rolling In The Deep",PHMP1103,3,PHMP1103,PH,1," 2/27/13"
Adele,"Rumour Has It",PHMU1107,4,PHMU1107,PH,1," 2/27/13"
"Adkins, Trace","Rest Of Mine, The",CBEP463-4,16,CBEP463-4,CB,1," 2/27/13"
"Adkins, Trace","Rough And Ready",MM6416,8,MM6416,MM,1," 2/27/13"
Adrenaline,"Rossdale, Gavin",THR0211,14,THR0211,TH,1," 2/27/13"
Aerosmith,"Rag Doll",SC7579,5,SC7579,SC,1," 2/27/13"
"After 7","Ready Or Not",DK069,1,DK069,DK,1," 2/27/13"
"Aguilera, Christina",Reflection,CB90168,13,CB90168,CB,1," 2/27/13"
"Ain't No Way To Treat A Lady","Reddy, Helen",AH2013,15,AH2013,AH,1," 2/27/13"
Alabama,Reckless,MM6029,11,MM6029,MM,1," 2/27/13"
Alabama,"Roll On Eighteen Wheeler",SC8461,15,SC8461,SC,1," 2/27/13"
Alda,"Real Goodtime, A",SF124,2,SF124,SF,1," 2/27/13"
"Aldean, Jason",Relentless,PHMC0807,1,PHMC0807,PH,1," 2/27/13"
"Aldean, Jason",Relentless(MPX),PHMC0807,10,PHMC0807,PH,1," 2/27/13"
"Allan, Gary","Right Where I Need To Be",CBE3-09,16,CBE3-09,CB,1," 2/27/13"
"Allan, Gary",Runaway,CB60195,11,CB60195,CB,1," 2/27/13"
"Allen, Deborah","Rock Me",SC8291,15,SC8291,SC,1," 2/27/13"
"Allen, Deborah","Rockin' Little Christmas",CBEP462-5,1,CBEP462-5,CB,1," 2/27/13"
"Allman Brothers Band, The","Ramblin' Man",DK009,13,DK009,DK,1," 2/27/13"
"Allman Brothers Band, The","Rambling Man",SGB062,9,SGB062,SG,1," 2/27/13"
"Amitri, Del","Roll To Me",SC8212,6,SC8212,SC,1," 2/27/13"
"Anderson, Lynn","Rose Garden",SAVP04,17,SAVP04,SA,1," 2/27/13"
"Anderson, Lynn wvocal","Rose Garden",SC2432,11,SC2432,SC,1," 2/27/13"
"Andrews Sisters, The","Roll Out The Barrel (Beer Barrel Polka)",SC8109,2,SC8109,SC,1," 2/27/13"
Angie,"Rolling Stones, The",UK3102,5,UK3102,UK,1," 2/27/13"
"Are You Jimmy Ray","Ray, Jimmy",PHM9803,5,PHM9803,PH,1," 2/27/13"
"Arie, India","Ready For Love",MM6394,9,MM6394,MM,1," 2/27/13"
"As Tears Go By","Rolling Stones, The",BS9217,2,BS9217,BS,1," 2/27/13"
Ashanti,"Rain On Me",CB30040,7,CB30040,CB,1," 2/27/13"
