"100 Proof Aged In Soul","Somebody's Been Sleeping",SC8333,9,SC8333,SC,1," 2/27/13"
"1910 Fruitgum Co.","Simon Says",DK034,15,DK034,DK,1," 2/27/13"
"2 Become 1","Spice Girls, The",PHM9707,3,PHM9707,PH,1," 2/27/13"
"2 Pistols Feat T-Pain & Tay Dizm","She Got It",PHMU0804,4,PHMU0804,PH,1," 2/27/13"
"20 Fingers","Short Dick Man",SC8746,14,SC8746,SC,1," 2/27/13"
33,"Smashing Pumpkins",PHM9702,8,PHM9702,PH,1," 2/27/13"
"38 Special","Second Chance",SC8588,3,SC8588,SC,1," 2/27/13"
3OH!3,StarStrukk,PHMP0907,7,PHMP0907,PH,1," 2/27/13"
"4 P.m.",Sukiyaki,DK089,16,DK089,DK,1," 2/27/13"
"59th Street Bridge Song","Simon & Garfunkel",HV05,2,HV05,HV,1," 2/27/13"
702,Steelo,SC8325,11,SC8325,SC,1," 2/27/13"
"7th Heaven",Sing,PHMP1206,9,PHMP1206,PH,1," 2/27/13"
A1,"Summertime Of Our Lives",SF148,5,SF148,SF,1," 2/27/13"
"Aaron Fresh","Spending All My Time",PHMU1009,6,PHMU1009,PH,1," 2/27/13"
Abba,"S. O. S.",CBE3-19,8,CBE3-19,CB,1," 2/27/13"
Abba,"So Long",MM6360,14,MM6360,MM,1," 2/27/13"
Abba,Sos,MM6302,8,MM6302,MM,1," 2/27/13"
Abba,"Summer Night City",MM6360,9,MM6360,MM,1," 2/27/13"
Abba,"Super Trooper",SF024,14,SF024,SF,1," 2/27/13"
Abba,"Super Trouper",BL07,2,BL07,BL,1," 2/27/13"
"Abbott, Gregory","Shake You Down",SC8201,10,SC8201,SC,1," 2/27/13"
"Abdul, Paula","Straight Up",SC7503,12,SC7503,SC,1," 2/27/13"
Ac-Dc,"Safe In New York City",SC8699,15,SC8699,SC,1," 2/27/13"
Ac-Dc,"Sin City",SC8701,4,SC8701,SC,1," 2/27/13"
Ac-Dc,"Sink The Pink",SC8701,5,SC8701,SC,1," 2/27/13"
Ac-Dc,"Stiff Upper Lip",MM6300,15,MM6300,MM,1," 2/27/13"
"Ace Of Base","Sign, The",MM6040,9,MM6040,MM,1," 2/27/13"
"Adam Ant","Stand And Deliver",SF105,1,SF105,SF,1," 2/27/13"
"Adams, Bryan",Star,CB90201,14,CB90201,CB,1," 2/27/13"
"Adams, Bryan","Straight From The Heart",CBE4-06,3,CBE4-06,CB,1," 2/27/13"
"Adams, Bryan","Summer Of '69",SC7545,14,SC7545,SC,1," 2/27/13"
"Adams, Ryan","So Alive",SC3400,3,SC3400,SC,1," 2/27/13"
"Adams, Ryan wvocal","So Alive",SC3400,11,SC3400,SC,1," 2/27/13"
Addicted,"Simple Plan",PHM0307,9,PHM0307,PH,1," 2/27/13"
Adele,"Set Fire To The Rain",PHMP1105,7,PHMP1105,PH,1," 2/27/13"
Adele,"Someone Like You",PHMP1105,2,PHMP1105,PH,1," 2/27/13"
"Adkins, Trace","Songs About Me",PHN0503,3,PHN0503,PH,1," 2/27/13"
Aerials,"System Of A Down",PHR0210,8,PHR0210,PH,1," 2/27/13"
Aerialsÿ,"System Of A Down",THR0209,14,THR0209,TH,1," 2/27/13"
