"10,000 Maniacs","These Are The Days",SC8466,14,SC8466,SC,1," 2/27/13"
"10,000 Maniacs","Trouble Me",SC8439,3,SC8439,SC,1," 2/27/13"
"2 Pac","Thugz Mansion",SC8805,1,SC8805,SC,1," 2/27/13"
3T,"Tease Me",SC8277,4,SC8277,SC,1," 2/27/13"
"4 Runner","That Was Him",SC8303,8,SC8303,SC,1," 2/27/13"
"69 Boyz","Tootsie Roll",SC8612,9,SC8612,SC,1," 2/27/13"
"867-5309 Jenny","Tutone, Tommy",AH8013,11,AH8013,AH,1," 2/27/13"
"98 Degrees","This Gift (Rv)",SC8593,2,SC8593,SC,1," 2/27/13"
"A Ha","Take On Me",MM6066,5,MM6066,MM,1," 2/27/13"
A-Ha,"Take On Me",SC7561,11,SC7561,SC,1," 2/27/13"
A1,"Take On Me",SF171,13,SF171,SF,1," 2/27/13"
Aaliyah,"Try Again",CBEP470-1,16,CBEP470-1,CB,1," 2/27/13"
Abba,"Take A Chance On Me",SC8283,2,SC8283,SC,1," 2/27/13"
Abba,"Thank You For The Music",MM6302,9,MM6302,MM,1," 2/27/13"
Ac-Dc,Tnt,SC8660,11,SC8660,SC,1," 2/27/13"
ACDC,Thunderstruck,SC2265,2,SC2265,SC,1," 2/27/13"
"Adamo, Salvatore","Tombe La Neige",SAVP07,6,SAVP07,SA,1," 2/27/13"
"Adams, Bryan","There Will Never Be Another Tonight",SC8237,8,SC8237,SC,1," 2/27/13"
"Adams, Bryan","Thought I'd Died And Gone To Heaven",SC8238,15,SC8238,SC,1," 2/27/13"
Adele,"Turning Tables",PHMP1107,2,PHMP1107,PH,1," 2/27/13"
"Adkins, Trace","Then They Do",SC8823,13,SC8823,SC,1," 2/27/13"
"Adkins, Trace","There's A Girl In Texas",SC8280,9,SC8280,SC,1," 2/27/13"
"Adkins, Trace","This Ain't No Thinkin' Thing",SC3004,8,SC3004,SC,1," 2/27/13"
"Adkins, Trace wvocal","This Ain't No Thinkin' Thing",SC3004,16,SC3004,SC,1," 2/27/13"
Aerosmith,"Toys In The Attic",SC8635,10,SC8635,SC,1," 2/27/13"
Aerosmith,"Train Kept A Rollin'",AH8003,6,AH8003,AH,1," 2/27/13"
Aerosmith,"Train Kept A Rolling",SGB14,15,SGB14,SG,1," 2/27/13"
"Afrojack feat Eva Simons","Take Over Control",PHMU1108,9,PHMU1108,PH,1," 2/27/13"
"After 7","Til You Do Me Right",SD017,8,SD017,SD,1," 2/27/13"
"Aguilera, Christina","The Voice Within",PHM-0402,7,PHM-0402,PH,1," 2/27/13"
"Aiken, Clay","This Is The Night",SC8839,10,SC8839,SC,1," 2/27/13"
"Aiken, Clay wvocal","This Is The Night",SC3375,10,SC3375,SC,1," 2/27/13"
"Akins, Rhett","That Ain't My Truck",CBEP453-6,13,CBEP453-6,CB,1," 2/27/13"
"Akins, Rhett","Thousand Memories, A",SC8250,14,SC8250,SC,1," 2/27/13"
Alabama,"T L C A S A P",MM6039,10,MM6039,MM,1," 2/27/13"
Alabama,T.l.c.a.s.a.p.,SC8102,10,SC8102,SC,1," 2/27/13"
Alabama,"Take A Little Trip",MMGCOU05,15,MMGCOU05,MM,1," 2/27/13"
