"2 Pac","Until The End Of Time",SC8702,8,SC8702,SC,1," 2/27/13"
"5th Dimension, The","Up, Up And Away",DK041,14,DK041,DK,1," 2/27/13"
Adema,Unstable,PHR0310,9,PHR0310,PH,1," 2/27/13"
"Alicia Keys","Un-thinkable (I'm Ready)",PHMU1005,5,PHMU1005,PH,1," 2/27/13"
"Alisha & Donna","Up Town Top Ranking",SF141,4,SF141,SF,1," 2/27/13"
"All I Want Is You",U2,TU107,1,TU107,TU,1," 2/27/13"
"Andrews, Jessica","Unbreakable Heart",CBEP461-6,12,CBEP461-6,CB,1," 2/27/13"
"Andrews, Jessica","Unbreakable Heart (Radio Version)",SC8584,8,SC8584,SC,1," 2/27/13"
AverySunshine,"Ugly Part Of Me",PHMU1212,7,PHMU1212,PH,1," 2/27/13"
B.m.u.,"U Will Know",SC8145,3,SC8145,SC,1," 2/27/13"
B2K,"Uh Huh",SC8747,6,SC8747,SC,1," 2/27/13"
"Bainbridge, Merrill","Under The Water",PHM9704,7,PHM9704,PH,1," 2/27/13"
"Band, The","Up On Cripple Creek",MM6120,12,MM6120,MM,1," 2/27/13"
"Barry Michael","Uncountrify Me",PHMC1202,9,PHMC1202,PH,1," 2/27/13"
"Beautiful Day",U2,TU107,3,TU107,TU,1," 2/27/13"
Blue,"U Make Me Wanna",SF203,1,SF203,SF,1," 2/27/13"
"Blue And Yellow","Used, The",PHR0309,5,PHR0309,PH,1," 2/27/13"
"Boxcar Willie","Up On The Housetop",CBEP462-2,16,CBEP462-2,CB,1," 2/27/13"
"Branch, Michelle","Until I Get Over You",SC8865,9,SC8865,SC,1," 2/27/13"
Brandy,"U Don't Know Me (Like U Used To)",SC8569,8,SC8569,SC,1," 2/27/13"
"Braxton, Toni","Un-Break My Heart",SC7587,9,SC7587,SC,1," 2/27/13"
"Braxton, Toni","Unbreak My Heart",SC8325,14,SC8325,SC,1," 2/27/13"
"Breaking Benjamin","Until The End",PHMP0802,8,PHMP0802,PH,1," 2/27/13"
"Britney Spears","Up'N Down",PHMP1106,9,PHMP1106,PH,1," 2/27/13"
"Broadman Hymnal","Uncloudy Day, The",CB70018,4,CB70018,CB,1," 2/27/13"
"Brooks, Garth","Unanswered Prayer",MM6019,7,MM6019,MM,1," 2/27/13"
"Brooks, Garth","Unanswered Prayers",SC8162,9,SC8162,SC,1," 2/27/13"
"Brooks, Garth","Uptown Down-Home Good Ol' Boy",CB90015,15,CB90015,CB,1," 2/27/13"
"Brotherhood Of Man","United We Stand",CBE3-18,15,CBE3-18,CB,1," 2/27/13"
"Brown, Shannon","Untangle My Heart",SC8753,7,SC8753,SC,1," 2/27/13"
"Buried Myself Alive","Used, The",PHR0306,4,PHR0306,PH,1," 2/27/13"
"Buried Myself Aliveÿ",Used,THR0305,12,THR0305,TH,1," 2/27/13"
Capella,"U Got To Let The Music",SF036,13,SF036,SF,1," 2/27/13"
"Carey, Mariah","Underneath The Stars",SC8343,2,SC8343,SC,1," 2/27/13"
"Carson, Jeff","Until We Fall Back In Love Again",MM6362,13,MM6362,MM,1," 2/27/13"
"Carter, Carlene","Unbreakable Heart",SC8309,11,SC8309,SC,1," 2/27/13"
"Cash, Johnny","Understand Your Man",DK063,18,DK063,DK,1," 2/27/13"
"Charles, Ray","Unchain My Heart",MMRB2-5,15,MMRB2-5,MM,1," 2/27/13"
"Christina Milian","Us Against The World",PHMP0903,2,PHMP0903,PH,1," 2/27/13"
Christmas,"Up On The Housetop",CB60033,5,CB60033,CB,1," 2/27/13"
Christmas-Traditional,"Up On The Housetop",SC8475,9,SC8475,SC,1," 2/27/13"
"Church, The","Under The Milky Way",SC8571,7,SC8571,SC,1," 2/27/13"
"Clark, Terri","Unsung Hero",SC8546,10,SC8546,SC,1," 2/27/13"
"Cocker & Warnes","Up Where We Belong",SC8119,10,SC8119,SC,1," 2/27/13"
"Cocker, Joe","Unchain My Heart",SF012,11,SF012,SF,1," 2/27/13"
"Cocker, Joe & Jennifer Warnes","Up Where We Belong",CBEP467-1,16,CBEP467-1,CB,1," 2/27/13"
"Cocker, Joe & Warnes, Jennifer","Up Where We Belong",CBE2-23,12,CBE2-23,CB,1," 2/27/13"
"Cole, Nat ''King''",Unforgettable,DK083,1,DK083,DK,1," 2/27/13"
"Cole, Nat ''king''",Unforgettable,MM6137,7,MM6137,MM,1," 2/27/13"
"Cole, Nat ''King'' & Natalie",Unforgettable,DKM2022,2,DKM2022,DK,1," 2/27/13"
"Cole, Nat ''king'' & Natalie",Unforgettable,CBE2-25,13,CBE2-25,CB,1," 2/27/13"
"Cole, Nat King",Unforgettable,MMSTA2-4,19,MMSTA2-4,MM,1," 2/27/13"
"Cole, Natalie",Unforgettable,MM6001,3,MM6001,MM,1," 2/27/13"
"Cole, Natalie & Nat ''king'' Cole",Unforgettable,CBEP471-4,12,CBEP471-4,CB,1," 2/27/13"
"Cole, Natalie & Nat King",Unforgettable,CBEP463-2,8,CBEP463-2,CB,1," 2/27/13"
"Common Feat Pharrell","Universal Mind Control",PHMU0902,4,PHMU0902,PH,1," 2/27/13"
"Cooper, Alice","Under My Wheels",SC8684,11,SC8684,SC,1," 2/27/13"
"Cox, Deborah","Up & Down (In & Out)",THH0301,16,THH0301,TH,1," 2/27/13"
"Creedence Clearwater Revival","Up Around The Bend",SC8489,9,SC8489,SC,1," 2/27/13"
"Cruz, Celia","Usted Abuso",MM6138,14,MM6138,MM,1," 2/27/13"
"Crystal Bowersox","Up To The Mountain",PHMP1008,6,PHMP1008,PH,1," 2/27/13"
"Crystals, The",Uptown,DK054,18,DK054,DK,1," 2/27/13"
"Cyrus, Billy Ray","Under The Hood",SC8512,13,SC8512,SC,1," 2/27/13"
D'angelo,"Untitled (How Does It Feel)",SC8755,14,SC8755,SC,1," 2/27/13"
"Daniels, Charlie","Uneasy Rider",SC8146,12,SC8146,SC,1," 2/27/13"
"Davidson, Clay",Unconditional,SD071,14,SD071,SD,1," 2/27/13"
Desire,U2,TU107,4,TU107,TU,1," 2/27/13"
"Diamond Rio",Unbelievable,CB90012,14,CB90012,CB,1," 2/27/13"
Discotheque,U2,HV09,5,HV09,HV,1," 2/27/13"
"Drift Away","Uncle Kracker & Dobie Gray",PHM0307,8,PHM0307,PH,1," 2/27/13"
