10Cc,"We Do For Love",SC8456,15,SC8456,SC,1," 2/27/13"
"12 Stones","We Are One",PHMP1008,8,PHMP1008,PH,1," 2/27/13"
"2 Live Crew","We Want Some P---Y!",SC8700,8,SC8700,SC,1," 2/27/13"
"3 Doors Down","When You're Young",PHMP1105,9,PHMP1105,PH,1," 2/27/13"
"38 Special","Wild Eyed Southern Boys",SC8479,14,SC8479,SC,1," 2/27/13"
"4 Non Blondes","What's Up",MM6030,14,MM6030,MM,1," 2/27/13"
"42Nd Street","We're In The Money",SC8127,10,SC8127,SC,1," 2/27/13"
"50 Cent",Wanksta,PHU0302,1,PHU0302,PH,1," 2/27/13"
"50 Cent wvocal",Wanksta,PHU0302,10,PHU0302,PH,1," 2/27/13"
5;15,"Who, The",AH8015,9,AH8015,AH,1," 2/27/13"
"5th Dimension, The","Wedding Bell Blues",DK023,11,DK023,DK,1," 2/27/13"
702,"Where My Girls At",SC8545,14,SC8545,SC,1," 2/27/13"
"702 wvocal","Where My Girls At",PHM9906,16,PHM9906,PH,1," 2/27/13"
"98 Degrees","Way You Want Me To, The",PHM0109,4,PHM0109,PH,1," 2/27/13"
"98 Degrees","Why (Are We Still Friends)",CB30023,7,CB30023,CB,1," 2/27/13"
"A Perfect Circle","Weak And Powerless",SC3389,6,SC3389,SC,1," 2/27/13"
"A Perfect Circle wvocal","Weak And Powerless",SC3389,14,SC3389,SC,1," 2/27/13"
A3,"Woke Up This Morning (Chosen One Mix-Sop",SC8821,8,SC8821,SC,1," 2/27/13"
Aaliyah,"We Need A Resolution",MM6346,13,MM6346,MM,1," 2/27/13"
Abba,Waterloo,SGB032,14,SGB032,SG,1," 2/27/13"
Abba,"Winner Takes All",MM6360,2,MM6360,MM,1," 2/27/13"
Abba,"Winner Takes It All, The",SF031,3,SF031,SF,1," 2/27/13"
Abc,"When Smokey Sings",SAVP26,12,SAVP26,SA,1," 2/27/13"
"Abdul, Paula","Will You Marry Me",SC8274,2,SC8274,SC,1," 2/27/13"
Ac-Dc,"Who Made Who",SC8701,3,SC8701,SC,1," 2/27/13"
Acdc,"Whole Lotta Rosie",BL11,15,BL11,BL,1," 2/27/13"
"Acuff, Roy","Wabash Cannonball",DK091,18,DK091,DK,1," 2/27/13"
"Acuff, Royÿ& The Nitty Gritty Dirt Band","Wreck On The Highway",CBEP476-6,14,CBEP476-6,CB,1," 2/27/13"
"Adam Ant",Wonderful,SC2098,6,SC2098,SC,1," 2/27/13"
"Adam Lambert","Whataya Want From Me",PHMP1002,4,PHMP1002,PH,1," 2/27/13"
"Adams, Bryan & Melanie C.","When You're Gone",SF128,13,SF128,SF,1," 2/27/13"
"Adams, Oleta","We Will Meet Again",MM6334,4,MM6334,MM,1," 2/27/13"
"Addotta, Kip","Wet Dream",SC8707,4,SC8707,SC,1," 2/27/13"
Aerosmith,"Walk This Way",CBEP474-4,17,CBEP474-4,CB,1," 2/27/13"
Aerosmith,"What It Takes",MM6315,8,MM6315,MM,1," 2/27/13"
Aerosmith,"What Kind Of Love Are You On",SC8481,15,SC8481,SC,1," 2/27/13"
"Aerosmith & Run Dmc","Walk This Way",SC8760,13,SC8760,SC,1," 2/27/13"
"Afro-Celt & Peter Gabriel","When You're Falling",PHR0109,7,PHR0109,PH,1," 2/27/13"
"Aguilera, Christina","We're A Miracle",SC8045,5,SC8045,SC,1," 2/27/13"
"Aguilera, Christina","What A Girl Wants",MM6290,9,MM6290,MM,1," 2/27/13"
"Aguilera, Christina","What A Girl Wants (Radio Version)",SC8581,9,SC8581,SC,1," 2/27/13"
"Aguilera, Christina","When You Put Your Hands On Me",CB4057,12,CB4057,CB,1," 2/27/13"
"Aguilera, Christina wvocal","What A Girl Wants",PHM9912,15,PHM9912,PH,1," 2/27/13"
"Aiken, Clay","Way, The",SC3400,5,SC3400,SC,1," 2/27/13"
"Aiken, Clay wvocal","Way, The",SC3400,13,SC3400,SC,1," 2/27/13"
"Akins, Rhett","What They're Talkin' About",MM6082,9,MM6082,MM,1," 2/27/13"
Alabama,"We Can't Love Like This Anymore",SC8139,15,SC8139,SC,1," 2/27/13"
Alabama,"We Made Love",SD073,12,SD073,SD,1," 2/27/13"
Alabama,"When It All Goes South",SC8786,8,SC8786,SC,1," 2/27/13"
Alabama,"When We Make Love",CBEP452-5,15,CBEP452-5,CB,1," 2/27/13"
Alabama,"Why Lady Why",CB60126,13,CB60126,CB,1," 2/27/13"
Alabama,"Will You Marry Me",SC8698,15,SC8698,SC,1," 2/27/13"
Alabama,"Woman He Loves, The",SC8729,14,SC8729,SC,1," 2/27/13"
Alabamaÿ,"When We Make Love",CB90153,2,CB90153,CB,1," 2/27/13"
"Alan, Jackson,","Where I Come From",SC8743,6,SC8743,SC,1," 2/27/13"
"Alanis Morissette","Woman Down",PHMP1211,2,PHMP1211,PH,1," 2/27/13"
Alfie,"Warwick, Dionne",PI029,18,PI029,PI,1," 2/27/13"
"All Saints","War Of Nerves",SF127,2,SF127,SF,1," 2/27/13"
"All Star Tribute","What's Goin' On",MM6352,15,MM6352,MM,1," 2/27/13"
"Allen, Deborah","Wrong Side Of Love",SC8243,3,SC8243,SC,1," 2/27/13"
"Allman Brothers Band, The","Whipping Post",SC8146,5,SC8146,SC,1," 2/27/13"
"Amber Hayes",Wait,PHMC1110,5,PHMC1110,PH,1," 2/27/13"
