"2 Pistols Feat Ray J","You Know Me",PHMU0809,9,PHMU0809,PH,1," 2/27/13"
311,"You Wouldn't Believe",SC8717,14,SC8717,SC,1," 2/27/13"
"8 Ball & MJG","You Don't Want Drama",PHU0409,5,PHU0409,PH,1," 2/27/13"
"8 Ball & MJG wvocal","You Don't Want Drama",PHU0409,14,PHU0409,PH,1," 2/27/13"
Ac-Dc,"You Shook Me All Night Long",AH8001,14,AH8001,AH,1," 2/27/13"
"Ain't Misbehavin'","Your Feet's Too Big",MM6175,6,MM6175,MM,1," 2/27/13"
Alabama,"You've Got The Touch",DK035,7,DK035,DK,1," 2/27/13"
Ambrosia,"You're The Only Woman",SC8580,7,SC8580,SC,1," 2/27/13"
America,"You Can Do Magic",DK098,17,DK098,DK,1," 2/27/13"
Anastacia,"You'll Never Be Alone",THP0302,12,THP0302,TH,1," 2/27/13"
"Anderson, John","You Ain't Hurt Nothin' Yet",CB90092,12,CB90092,CB,1," 2/27/13"
"Anderson, Lynn","You're My Man",CB90114,6,CB90114,CB,1," 2/27/13"
"Andrews, Chris","Yesterday Man",SF045,12,SF045,SF,1," 2/27/13"
"Andrews, Jessica","You Go First",SC8549,11,SC8549,SC,1," 2/27/13"
"Andrews, Jessica","You Go First (Do You Wanna Kiss)",SD065,6,SD065,SD,1," 2/27/13"
"Andy Griggs","You Made Me That Way",SD078,8,SD078,SD,1," 2/27/13"
"Anka, Paul","You Are My Destiny",SC8196,10,SC8196,SC,1," 2/27/13"
"Anthony, Marc","You Sang To Me",CB30015,15,CB30015,CB,1," 2/27/13"
"Anything Goes","You're The Top",SC2222,5,SC2222,SC,1," 2/27/13"
"Arnold, Eddy","You Don't Know Me",CB20219,8,CB20219,CB,1," 2/27/13"
"Arnold, Eddy W-Vocal","You Don't Know Me",SC7544,7,SC7544,SC,1," 2/27/13"
"Ashton, Susan","You're Lucky I Love",SD065,9,SD065,SD,1," 2/27/13"
"Ashton, Susan","You're Lucky I Love You",CB60177,11,CB60177,CB,1," 2/27/13"
"Autry, Gene","You Are My Sunshine",CBE2-01,9,CBE2-01,CB,1," 2/27/13"
"Autry, Gene","You're Not My Darlin' Anymore",CB90219,13,CB90219,CB,1," 2/27/13"
Avant,"Your Body Is The Business",PHMU1106,7,PHMU1106,PH,1," 2/27/13"
"Bachman Turner Overdrive","You Ain't Seen Nothing Yet",CBEP464-5,16,CBEP464-5,CB,1," 2/27/13"
"Bachman Turner Overdrive wvocal","You Ain't Seen Nothing Yet",SC2439,9,SC2439,SC,1," 2/27/13"
"Bachman-Turner Overdrive","You Ain't Seen Nothing Yet",DK022,17,DK022,DK,1," 2/27/13"
"Bad Company","Young Blood",SC8314,7,SC8314,SC,1," 2/27/13"
"Baha Men","You All Dat",SF176,7,SF176,SF,1," 2/27/13"
"Baker & Myers","Years From Here",SC8239,13,SC8239,SC,1," 2/27/13"
"Baker, Anita","You Bring Me Joy",SC8405,1,SC8405,SC,1," 2/27/13"
"Ballard, Roger","You Can't Get There From Here",SC8287,15,SC8287,SC,1," 2/27/13"
"Barbra Streisand & Neil Diamond","You Don't Bring Me Flowers",SC8119,1,SC8119,SC,1," 2/27/13"
"Beastie Boys, The","You Gotta Fight For Your Right To Party",AH8006,12,AH8006,AH,1," 2/27/13"
"Beatles, The","Yellow Submarine",CBEP472-2,14,CBEP472-2,CB,1," 2/27/13"
"Beatles, The",Yesterday,CBE2-16,13,CBE2-16,CB,1," 2/27/13"
"Beatles, The","You Can't Do That",SC8360,6,SC8360,SC,1," 2/27/13"
"Beatles, The","You're Gonna Lose That Girl",DK009,9,DK009,DK,1," 2/27/13"
"Beatles, The","You've Got To Hide Your Love Away",SC8360,8,SC8360,SC,1," 2/27/13"
"Beatles, The","Your Mother Should Know",MM6060,2,MM6060,MM,1," 2/27/13"
"Bee Gees, The","You Should Be Dancing",DK034,10,DK034,DK,1," 2/27/13"
"Bee Gees, The","You Win Again",SAVP32,17,SAVP32,SA,1," 2/27/13"
"Believe Me Baby I Lied","Yearwood, Trisha",AH8016,14,AH8016,AH,1," 2/27/13"
"Bellamy Brothers, The","You Ain't Just Whistlin' Dixie",SC8342,14,SC8342,SC,1," 2/27/13"
"Benatar, Pat","You Better Run",SC8815,13,SC8815,SC,1," 2/27/13"
"Benet, Erik","Youre The Only One",PHMU0808,5,PHMU0808,PH,1," 2/27/13"
"Berry, John","You And Only You",SD006,8,SD006,SD,1," 2/27/13"
"Berry, John","Your Love Amazes Me",SC8141,15,SC8141,SC,1," 2/27/13"
"Big Bad Voodoo Daddy","You & Me & The Bottle Makes 3",SC8484,8,SC8484,SC,1," 2/27/13"
"Big Bad Voodoo Daddy","You And Me And The Bottle Makes Three",SGB07,1,SGB07,SG,1," 2/27/13"
"Big House","You Ain't Lonely Yet",SC8382,14,SC8382,SC,1," 2/27/13"
"Bishops, The","You Can't Ask Too Much Of My God",CBEP466-4,5,CBEP466-4,CB,1," 2/27/13"
"Black Legend","You See The Trouble With Me",SF167,16,SF167,SF,1," 2/27/13"
"Black, Cilla","You're My World",SF052,2,SF052,SF,1," 2/27/13"
"Black, Clint","You Don't Need Me Now",CB60170,14,CB60170,CB,1," 2/27/13"
Blackhawk,"Your Own Little Corner Of My Heart",SC8520,15,SC8520,SC,1," 2/27/13"
"Blanchard & Morgan","You've Got Your Troubles I've Got Mine",MM6314,10,MM6314,MM,1," 2/27/13"
"Blige, Mary J.","You Don't Have To Worry",SC8244,7,SC8244,SC,1," 2/27/13"
"Blige, Mary J.","You Remind Me",SC8274,14,SC8274,SC,1," 2/27/13"
"Blood, Sweat & Tears","You've Made Me So Very Happy",SC7550,8,SC7550,SC,1," 2/27/13"
"Blue Jeans","Yasmeen & Ghostface Killah",THH0211,14,THH0211,TH,1," 2/27/13"
Bluebells,"Young At Heart",SF012,14,SF012,SF,1," 2/27/13"
"Bluegrass Album Band, The","Your Love Is Like A Flower",CBEP476-6,6,CBEP476-6,CB,1," 2/27/13"
"Bo Bice","You Take Yourself With You",PHMC1008,5,PHMC1008,PH,1," 2/27/13"
"Bob Seger","You'll Accompany Me",AH8020,9,AH8020,AH,1," 2/27/13"
"Bogguss, Suzy","You Never Will",SC8287,13,SC8287,SC,1," 2/27/13"
"Bogguss, Suzy","You Wouldn't Say That To A Stranger",SC8260,7,SC8260,SC,1," 2/27/13"
"Bolton, Michael","You Wouldn't Know Love",SC8264,15,SC8264,SC,1," 2/27/13"
"Bon Jovi","You Give Love A Bad Name",SC7579,15,SC7579,SC,1," 2/27/13"
"Bonnie Raitt",You,SC8371,12,SC8371,SC,1," 2/27/13"
"Bonnie Raitt","You Got It",SC8156,12,SC8156,SC,1," 2/27/13"
"Bonoff, K. & Nitty Gritty Dirt Band","You Believed In Me",SC8289,13,SC8289,SC,1," 2/27/13"
"Boone, Debbie","You Light Up My Life",SC7506,9,SC7506,SC,1," 2/27/13"
"Bowie, David","Young Americans",SC8313,10,SC8313,SC,1," 2/27/13"
Boyzone,"You Needed Me",BL20,14,BL20,BL,1," 2/27/13"
"Brand New Heavies","You Got A Friend",SF114,12,SF114,SF,1," 2/27/13"
"Braxton, Toni","You Mean The World To Me",AH9821,15,AH9821,AH,1," 2/27/13"
"Braxton, Toni","You're Making Me High",SF060,9,SF060,SF,1," 2/27/13"
"Brickman, Jim & Jane Krakowski",You,SC8809,12,SC8809,SC,1," 2/27/13"
"Broadman Hymnal","Ye Must Be Born Again",CB70017,15,CB70017,CB,1," 2/27/13"
"Brock, Chad",Yes,SD071,11,SD071,SD,1," 2/27/13"
"Brock, Chad",Yes!,CHM0006,16,CHM0006,CH,1," 2/27/13"
"Brooks & Dunn","You Can't Take The Honkey Tonk Out Of Th",MM6402,1,MM6402,MM,1," 2/27/13"
"Brooks & Dunn","You Can't Take The Honky Tonk Out Of The",SC8903,8,SC8903,SC,1," 2/27/13"
"Brooks & Dunn","You'll Always Be Loved By Me",CHM0006,13,CHM0006,CH,1," 2/27/13"
"Brooks & Dunn","You're Gonna Miss Me When I'm Gone",SC8505,8,SC8505,SC,1," 2/27/13"
"Brooks & Dunn","You're My Angel",CB60183,14,CB60183,CB,1," 2/27/13"
"Brooks & Dunn","You'll Always Be Loved By Me",CB60198,1,CB60198,CB,1," 2/27/13"
"Brooks & Dunn wvocal","You Can't Take The Honky Tonk Out Of The",SC3382,16,SC3382,SC,1," 2/27/13"
"Brooks, Garth","You Move Me",SC8480,11,SC8480,SC,1," 2/27/13"
"Brothers Four, The","Yellow Bird",SAVP05,16,SAVP05,SA,1," 2/27/13"
"Brown, Marty","You Can't Wrap Your Arms Around A Memory",SC8344,8,SC8344,SC,1," 2/27/13"
"Bruce, Ed","You Turn Me On",SC8326,10,SC8326,SC,1," 2/27/13"
"Bruce, Ed","You're The Best Break This Old Heart Eve",SC7537,8,SC7537,SC,1," 2/27/13"
Bto,"You Ain't Seen Nothing Yet",SC8368,10,SC8368,SC,1," 2/27/13"
"Buble, Michael","You'll Never Find",MM6410,6,MM6410,MM,1," 2/27/13"
"Burnett, Johnny","You're Sixteen",MM6016,11,MM6016,MM,1," 2/27/13"
"Bust A Move","Young MC",KJT08,7,KJT08,KJ,1," 2/27/13"
Busted,"Year 3000",SF202,15,SF202,SF,1," 2/27/13"
Busted,"You Said No",SF205,10,SF205,SF,1," 2/27/13"
Candlebox,You,SC8530,12,SC8530,SC,1," 2/27/13"
"Cantor, Eddie","Yes Sir! That's My Baby",CB5018-01,12,CB5018-01,CB,1," 2/27/13"
Caravelles,"You Don't Have To Be A Baby To Cry",SC8206,15,SC8206,SC,1," 2/27/13"
"Cardigans, The","Your New Cuckoo",MM6197,14,MM6197,MM,1," 2/27/13"
Carousel,"You'll Never Walk Alone",SF008,7,SF008,SF,1," 2/27/13"
"Carpenter, Mary Chapin","You Win Again",CB90029,11,CB90029,CB,1," 2/27/13"
"Carpenters, The","Yesterday Once More",CB90194,13,CB90194,CB,1," 2/27/13"
"Carr, Vicki","Yo Sego Siendo Como Soy",MM6138,5,MM6138,MM,1," 2/27/13"
"Cars, The","You Might Think",SC7559,10,SC7559,SC,1," 2/27/13"
"Carson, Jeff","Yeah Buddy",SC8171,4,SC8171,SC,1," 2/27/13"
"Carter's Chord","Young Love",PHMC0804,9,PHMC0804,PH,1," 2/27/13"
"Carter, Deana","You Still Shake Me",MM6264,15,MM6264,MM,1," 2/27/13"
"Cassidy, Eva & David Gray","You Don't Know Me",MM6393,8,MM6393,MM,1," 2/27/13"
"Charles, Ray","You Don't Know Me",MM6067,6,MM6067,MM,1," 2/27/13"
"Cheap Trick","You're All I Wanna Do",SC8238,14,SC8238,SC,1," 2/27/13"
"Chesney, Kenny","You Had Me From Hello",CBEP461-6,15,CBEP461-6,CB,1," 2/27/13"
"Chesney, Kenny",Young,CBE3-13,15,CBE3-13,CB,1," 2/27/13"
"Chesney, Kenny wvocal",Young,SC3300,12,SC3300,SC,1," 2/27/13"
"Chesnutt, Mark","Your Love Is A Miracle",CB90024,4,CB90024,CB,1," 2/27/13"
Chicago,"You're The Inspiration",CBEP467-5,13,CBEP467-5,CB,1," 2/27/13"
Christie,"Yellow River",SF042,1,SF042,SF,1," 2/27/13"
Christmas,"You're A Mean One, Mr. Grinch",CB60185,12,CB60185,CB,1," 2/27/13"
"Christmas-How The Grinch Stole Christmas","You're A Mean One, Mr. Grinch",SC8557,14,SC8557,SC,1," 2/27/13"
"Clark, Jameson","You Da Man",THC0301,18,THC0301,TH,1," 2/27/13"
"Clark, Roy","Yesterday When I Was Young",SC8262,9,SC8262,SC,1," 2/27/13"
"Clark, Terri","You're Easy On The Eyes",SC8480,15,SC8480,SC,1," 2/27/13"
"Clarkson, Kelly & Tamyra Gray","You Thought Wrong",SC8845,15,SC8845,SC,1," 2/27/13"
"Clarkson, Kelly & Tamyra Gray wvocal","You Thought Wrong",SC3383,15,SC3383,SC,1," 2/27/13"
"Cline, Patsy","You Took Him Off My Hands",MM6084,14,MM6084,MM,1," 2/27/13"
"Cline, Patsy","You're Stronger Than Me",MM6084,8,MM6084,MM,1," 2/27/13"
"Coasters, The","Yakety Yak",DK049,18,DK049,DK,1," 2/27/13"
"Coasters, The","Young Blood",CBEP454-5,14,CBEP454-5,CB,1," 2/27/13"
"Cobra Starship feat Sabi","You Make Me Feel",PHMP1111,1,PHMP1111,PH,1," 2/27/13"
"Cochran, Anita","You With Me",CB60205,11,CB60205,CB,1," 2/27/13"
"Cocker, Joe","You Are So Beautiful",MMGCP9805,15,MMGCP9805,MM,1," 2/27/13"
"Cocker, Joe","You Can Leave Your Hat On",BL36,6,BL36,BL,1," 2/27/13"
"Coe, David Allan","You Never Even Call Me By My Name",CB80109,15,CB80109,CB,1," 2/27/13"
"Coe, David Allan","You Never Even Called Me By My Name",SC7515,8,SC7515,SC,1," 2/27/13"
"Coe, David Allan","You Never Even Called Me By My Name - Co",SC2324,8,SC2324,SC,1," 2/27/13"
"Coe, David Allen","You Never Even Call Me By My Name",CB90115,1,CB90115,CB,1," 2/27/13"
"Cold Play",Yellow,SF169,4,SF169,SF,1," 2/27/13"
Coldplay,Yellow,CB30012,14,CB30012,CB,1," 2/27/13"
"Cole, Nat King","You Stepped Out Of A Dream",MM6242,15,MM6242,MM,1," 2/27/13"
"Collins, Phil","You Can't Hurry Love",SF031,11,SF031,SF,1," 2/27/13"
"Collins, Phil","You'll Be In My Heart",BL36,11,BL36,BL,1," 2/27/13"
"Colvin, Shawn","You & Mona Lisa",PHM9711,4,PHM9711,PH,1," 2/27/13"
"Colvin, Shawn","You And The Mona Lisa",SC8423,14,SC8423,SC,1," 2/27/13"
"Conlee, John","Years After You",CB90100,9,CB90100,CB,1," 2/27/13"
"Conley, Earl Thomas","Your Love's On The Line",CB60167,10,CB60167,CB,1," 2/27/13"
"Connie Smith","You and Me",PHMC1112,5,PHMC1112,PH,1," 2/27/13"
"Cooper, Alice","You And Me",SC8734,12,SC8734,SC,1," 2/27/13"
"Coty, Neal","You Got Lucky",CB60219,9,CB60219,CB,1," 2/27/13"
"Craddock, Billy ''crash''","You Rubbed It In All Wrong",CBE4-15,14,CBE4-15,CB,1," 2/27/13"
"Crawford, Randy","You Might Need Somebody",SF110,15,SF110,SF,1," 2/27/13"
"Croce, Jim","You Don't Mess Around",SC2204,2,SC2204,SC,1," 2/27/13"
"Croce, Jim","You Don't Mess Around With Jim",CBE2-18,5,CBE2-18,CB,1," 2/27/13"
"Crosby, Bing","You Are My Sunshine",SC7210,16,SC7210,SC,1," 2/27/13"
"Crosby, Bing","You Must Have Been A Beautiful Baby",CBEP469-2,12,CBEP469-2,CB,1," 2/27/13"
"Cryner, Bobbie","You'd Think He'd Know Me Better",SC8247,15,SC8247,SC,1," 2/27/13"
"Crystal Shawanda","You Can Let Go",PHMC0812,6,PHMC0812,PH,1," 2/27/13"
"Cupids Inspiration","Yesterday Has Gone",SF065,10,SF065,SF,1," 2/27/13"
"Cutting Edge","Your Love Is My Oxygen",PHMP1202,9,PHMP1202,PH,1," 2/27/13"
"Cyrus, Billy Ray","You Won't Be Lonely Now",MM6312,14,MM6312,MM,1," 2/27/13"
"Damn Yankees","You Gotta Have Heart",MMBH1-2,18,MMBH1-2,MM,1," 2/27/13"
"Daniel, Dale","You Gave Her Your Name",SC8317,14,SC8317,SC,1," 2/27/13"
"Darin, Bobby","You Must Have Been A Beautiful Baby",MMGSTA01,19,MMGSTA01,MM,1," 2/27/13"
"Darin, Bobby","You're The Reason I'm Living",SC7526,11,SC7526,SC,1," 2/27/13"
"David Gray","You're The World To Me",PHMP0802,3,PHMP0802,PH,1," 2/27/13"
"David, Craig","You Dont Miss Your Water",SF213,4,SF213,SF,1," 2/27/13"
"Davis, Mac","You're My Bestest Friend",SC8326,7,SC8326,SC,1," 2/27/13"
"Dead Or Alive","You Spin Me Around",SF037,11,SF037,SF,1," 2/27/13"
"Dead Or Alive","You Spin Me Round",SC8696,8,SC8696,SC,1," 2/27/13"
"Dead Or Alive","You Spin Me Round (Like A Record)",SC8573,8,SC8573,SC,1," 2/27/13"
"Dean, Billy","You Don't Count The Cost",CB60099,5,CB60099,CB,1," 2/27/13"
"Dekker, Desmond & The Aces","You Can Get It If You Really Want",MM6375,2,MM6375,MM,1," 2/27/13"
Des'ree,"You Gotta Be",MM6078,15,MM6078,MM,1," 2/27/13"
"Desario, Teri & K.C.","Yes, I'm Ready",DK057,2,DK057,DK,1," 2/27/13"
"Desario, Teri & Kc","Yes I'm Ready",SC8482,5,SC8482,SC,1," 2/27/13"
"Diamond & Streisand","You Don't Bring Me Flowers",MM6112,9,MM6112,MM,1," 2/27/13"
"Diamond Rio","You're Gone",CB90012,13,CB90012,CB,1," 2/27/13"
"Diamond, Neil","Yesterday's Songs",MM6072,10,MM6072,MM,1," 2/27/13"
"Diamond, Neil","You Are The Best Part Of Me",MM6348,4,MM6348,MM,1," 2/27/13"
"Diamond, Neil & Barbra Streisand","You Don't Bring Me Flowers",MMGCP9807,1,MMGCP9807,MM,1," 2/27/13"
"Diamond, Neil & Streisand, Barbra","You Don't Bring Me Flowers",SC7519,15,SC7519,SC,1," 2/27/13"
"Dion, Celine","You & I",SC8883,3,SC8883,SC,1," 2/27/13"
"Dion, Celine","You And I",SC3415,3,SC3415,SC,1," 2/27/13"
"Dixie Chicks, The","You Can't Hurry Love",SGB029,9,SGB029,SG,1," 2/27/13"
"Dixie Chicks, The","You Were Mine",SGB029,12,SGB029,SG,1," 2/27/13"
"Dixon, Willie","You Shook Me",SC8339,5,SC8339,SC,1," 2/27/13"
"DJ Jazzy Jeff & Fresh Prince, The","You're Gonna Make Me Love Somebody",SAVP38,19,SAVP38,SA,1," 2/27/13"
"Dorsey, Lee","Ya Ya",SC8251,12,SC8251,SC,1," 2/27/13"
"Down By The River","Young, Neil",DG10,7,DG10,DG,1," 2/27/13"
"Drusky & Mitchell","Yes, Mr.peters",MM6314,12,MM6314,MM,1," 2/27/13"
"Drusky, Roy","Yes, Mr. Peters",CB90141,15,CB90141,CB,1," 2/27/13"
"Drusky, Roy & Priscilla Mitchell","Yes, Mr. Peters",CBEP471-5,15,CBEP471-5,CB,1," 2/27/13"
"Duets-Diamond, Neil & Streisand, Barbra","You Don't Bring Me Flowers",AH8018,18,AH8018,AH,1," 2/27/13"
"Duets-Gaye, Marvin & Ross, Diana","You're A Special Part Of Me",DK087,16,DK087,DK,1," 2/27/13"
"Duets-Gaye, Marvin & Terrell, Tammi","You're All I Need To Get By",DK069,10,DK069,DK,1," 2/27/13"
"Duets-McCool, Marilyn & Davis, Billy Jr.","You Don't Have To Be A Star",DK056,14,DK056,DK,1," 2/27/13"
"Duets-Travolta, John & Newton-John, Oliv","You're The One That I Want",DK011,2,DK011,DK,1," 2/27/13"
"Dunn, Holly","You Had Me Going",SC8183,7,SC8183,SC,1," 2/27/13"
"Dunn, Holly","You Really Had Me Going",CBEP453-1,5,CBEP453-1,CB,1," 2/27/13"
"Duprees, The","You Belong To Me",MM6043,5,MM6043,MM,1," 2/27/13"
"Dustin Lynch","Your Plan",PHMC1211,4,PHMC1211,PH,1," 2/27/13"
"Easton, Sheena","You Could Have Been With Me",SC8378,8,SC8378,SC,1," 2/27/13"
"Eddie Rabbitt & Crystal Gayle","You & I",SC8128,10,SC8128,SC,1," 2/27/13"
"Elliot, Alecia","You Wanna What",SC8653,13,SC8653,SC,1," 2/27/13"
"Elliott, Alecia","You Wanna What",MM6311,11,MM6311,MM,1," 2/27/13"
"Elton John","Your Song",SC8134,12,SC8134,SC,1," 2/27/13"
"Elvis Presley","You Don't Have To Say You Love Me",SC8356,8,SC8356,SC,1," 2/27/13"
"Emerson Drive","You Still Own Me",PHMC0804,2,PHMC0804,PH,1," 2/27/13"
"English, Michael","Your Love Amazes Me",SC8290,14,SC8290,SC,1," 2/27/13"
"Estefan, Gloria","You Can't Walk Away From Love",MM6335,7,MM6335,MM,1," 2/27/13"
"Estefan, Gloria","You'll Be Mine",SC8312,15,SC8312,SC,1," 2/27/13"
