"Bowie, David","Ziggy Stardust",SGB14,10,SGB14,SG,1," 2/27/13"
"Cherry Poppin' Daddies","Zoot Suit Riot",SC7587,14,SC7587,SC,1," 2/27/13"
"Cherry Poppin' Daddys","Zoot Suit Riot",SGB07,4,SGB07,SG,1," 2/27/13"
"Christmas-Armstrong, Louis","Zat You Santa Claus",SC8780,10,SC8780,SC,1," 2/27/13"
"Cranberries, The",Zombie,BL21,15,BL21,BL,1," 2/27/13"
"Dave Dee Dozy Braky Mick & Tich",Zabadak,SF064,3,SF064,SF,1," 2/27/13"
"Demon Speeding","Zombie, Rob",PHR0211,8,PHR0211,PH,1," 2/27/13"
"Dirty Love","Zappa, Frank",DG02,10,DG02,DG,1," 2/27/13"
"Feel So Numb","Zombie, Rob",TU089,6,TU089,TU,1," 2/27/13"
"Feels So Numb","Zombie, Rob",PHR0202,8,PHR0202,PH,1," 2/27/13"
"Greek Favorites","Zorba The Greek",SC8193,5,SC8193,SC,1," 2/27/13"
Honestly,Zwan,TU186,3,TU186,TU,1," 2/27/13"
"I'm Bad, I'm Nationwide","ZZ Top",DG03,15,DG03,DG,1," 2/27/13"
"In The Year 2525","Zager & Evans",TU154,5,TU154,TU,1," 2/27/13"
Lit,Zip-Lock,SC8559,11,SC8559,SC,1," 2/27/13"
Lyric,Zwan,PHR0306,1,PHR0306,PH,1," 2/27/13"
"Never Gonna Stop","Zombie, Rob",PHR0205,9,PHR0205,PH,1," 2/27/13"
"Nothing Can Stand In Your Way","Zappacosta, Alfie",GM1001,9,GM1001,GM,1," 2/27/13"
"Red Hot Chili Peppers","Zephyr Song, The",CB30030,15,CB30030,CB,1," 2/27/13"
"Royal Crown Revue","Zip Gun Bop",SGB07,8,SGB07,SG,1," 2/27/13"
"Scorpions, The","Zoo, The",SC8756,4,SC8756,SC,1," 2/27/13"
"Smashing Pumpkins",Zero,SC8257,12,SC8257,SC,1," 2/27/13"
